Station Name,Date,CO
Masfout,01/01/2023,0.17178
Masfout,01/01/2023,0.17178
Masfout,01/01/2023,0.2061359999999999
Masfout,01/01/2023,0.17178
Masfout,01/01/2023,0.160328
Masfout,01/01/2023,0.148876
Masfout,01/01/2023,0.194684
Masfout,01/01/2023,0.251944
Masfout,01/01/2023,2.072812
Masfout,01/01/2023,0.160328
Masfout,01/01/2023,0.183232
Masfout,01/01/2023,0.17178
Masfout,01/01/2023,0.183232
Masfout,01/01/2023,0.160328
Masfout,01/01/2023,0.160328
Masfout,01/01/2023,0.148876
Masfout,01/01/2023,0.160328
Masfout,01/01/2023,0.17178
Masfout,01/01/2023,0.2863
Masfout,01/01/2023,0.2061359999999999
Masfout,01/01/2023,0.183232
Masfout,01/01/2023,0.194684
Masfout,01/01/2023,0.148876
Masfout,01/01/2023,0.137424
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.160328
Masfout,02/01/2023,0.606956
Masfout,02/01/2023,0.22904
Masfout,02/01/2023,0.217588
Masfout,02/01/2023,0.160328
Masfout,02/01/2023,0.125972
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.137424
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.148876
Masfout,02/01/2023,0.160328
Masfout,02/01/2023,0.160328
Masfout,02/01/2023,0.160328
Masfout,02/01/2023,0.160328
Masfout,03/01/2023,0.183232
Masfout,03/01/2023,0.17178
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.2061359999999999
Masfout,03/01/2023,0.2404919999999999
Masfout,03/01/2023,0.17178
Masfout,03/01/2023,0.160328
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.160328
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.160328
Masfout,03/01/2023,0.148876
Masfout,03/01/2023,0.160328
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.125972
Masfout,03/01/2023,0.125972
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.137424
Masfout,03/01/2023,0.148876
Masfout,04/01/2023,0.160328
Masfout,04/01/2023,0.160328
Masfout,04/01/2023,0.17178
Masfout,04/01/2023,0.160328
Masfout,04/01/2023,0.137424
Masfout,04/01/2023,0.125972
Masfout,04/01/2023,0.17178
Masfout,04/01/2023,0.148876
Masfout,04/01/2023,0.125972
Masfout,04/01/2023,0.11452
Masfout,04/01/2023,0.125972
Masfout,04/01/2023,0.125972
Masfout,04/01/2023,0.148876
Masfout,04/01/2023,0.137424
Masfout,04/01/2023,0.137424
Masfout,04/01/2023,0.137424
