Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/12/2023,01:00:00,7.04,,,123.14,148.901918,25.761918,,,8.09,,,,,,1.38,,,,,46.0,,,9.9,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,02:00:00,5.39,,,112.27,128.83236399999998,16.562364000000002,,,9.86,,,,,,1.32,,,,,47.0,,,13.4,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,03:00:00,5.36,,,87.74,106.152303,18.412303,,,12.39,,,,,,1.18,,,,,55.0,,,14.4,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,04:00:00,6.99,,,87.36,110.015815,22.655815000000004,,,7.59,,,,,,1.56,,,,,55.0,,,9.4,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,05:00:00,5.7,,,93.51,104.802281,11.292281,,,7.59,,,,,,1.38,,,,,44.0,,,7.6,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,06:00:00,5.68,,,84.97,94.639296,9.669296,,,9.87,,,,,,1.04,,,,,35.0,,,11.1,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,07:00:00,4.96,,,66.11,77.304638,11.194638,,,14.96,,,,,,0.89,,,,,41.0,,,13.4,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,08:00:00,4.25,,,76.16,86.869062,10.709062,,,7.05,,,,,,0.96,,,,,45.0,,,11.4,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,09:00:00,4.86,,,75.55,83.720344,8.170344,,,10.83,,,,,,0.55,,,,,42.0,,,7.7,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/12/2023,10:00:00,4.97,,,56.04,60.819229,4.779229000000001,,,21.81,,,,,,0.56,,,,,33.0,,,5.3,,,,,,,,,,,,,,,,,,,,
