Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/03/2023,01:00:00,7.7,,,65.61,142.22,76.61,,,16.59,,,,,,1.0,,,,,83.0,,,21.7445,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,02:00:00,8.87,,,53.69,62.97,9.28,,,31.64,,,,,,0.72,,,,,74.0,,,23.1018,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,03:00:00,8.38,,,39.04,41.49,2.45,,,46.96,,,,,,0.41,,,,,65.0,,,16.7585,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,04:00:00,7.07,,,31.0,33.13,2.13,,,57.51,,,,,,0.29,,,,,56.0,,,17.450999999999997,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,05:00:00,8.88,,,29.82,32.25,2.43,,,55.25,,,,,,0.27,,,,,49.0,,,18.1158,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,06:00:00,7.4,,,36.56,44.07,7.51,,,43.7,,,,,,0.25,,,,,60.0,,,18.48128,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,07:00:00,7.49,,,43.11,80.33,37.22,,,30.72,,,,,,0.72,,,,,68.0,,,21.1074,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,08:00:00,5.84,,,50.67,92.89,42.22,,,17.03,,,,,,0.91,,,,,59.0,,,17.450999999999997,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,09:00:00,7.2,,,43.87,53.24,9.37,,,33.36,,,,,,0.59,,,,,46.0,,,14.957999999999998,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,10:00:00,6.18,,,28.94,33.0,4.06,,,65.29,,,,,,0.31,,,,,44.0,,,14.4594,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,11:00:00,5.72,,,21.12,25.9,4.78,,,76.34,,,,,,0.34,,,,,43.0,,,15.622799999999998,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,12:00:00,7.98,,,14.8,18.14,3.34,,,81.36,,,,,,0.38,,,,,51.0,,,18.9468,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,13:00:00,8.35,,,12.57,19.68,7.11,,,88.39,,,,,,0.42,,,,,63.0,,,19.791515,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,14:00:00,8.54,,,10.56,12.92,2.36,,,100.45,,,,,,0.42,,,,,76.0,,,27.0906,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,15:00:00,9.07,,,7.8,10.98,3.18,,,112.75,,,,,,0.34,,,,,87.0,,,25.484,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,16:00:00,7.99,,,8.8,13.080000000000002,4.28,,,110.98,,,,,,0.3,,,,,97.0,,,30.747,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,17:00:00,,,,,,,,,,,,,,,,,,,,88.0,,,27.7554,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,18:00:00,8.12,,,26.01,28.67,2.66,,,63.27,,,,,,0.47,,,,,79.0,,,24.4314,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,19:00:00,7.7,,,35.65,38.02,2.37,,,34.34,,,,,,1.0,,,,,68.0,,,22.2708,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,20:00:00,8.55,,,49.37,51.86,2.49,,,28.53,,,,,,1.08,,,,,66.0,,,19.5285,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,21:00:00,7.09,,,48.28,51.91,3.63,,,29.54,,,,,,0.85,,,,,75.0,,,26.2596,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,22:00:00,6.95,,,42.22,44.78,2.56,,,36.61,,,,,,0.57,,,,,83.0,,,23.545,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/03/2023,23:00:00,8.09,,,43.56,46.23,2.67,,,33.84,,,,,,0.58,,,,,87.0,,,22.852500000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,00:00:00,7.8,,,57.62,60.49,2.87,,,24.94,,,,,,0.3,,,,,78.0,,,24.5976,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,01:00:00,7.53,,,60.07,62.98,2.91,,,21.88,,,,,,0.28,,,,,70.0,,,18.77005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,02:00:00,7.43,,,51.53,54.43,2.9,,,29.26,,,,,,0.53,,,,,60.0,,,18.4482,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,03:00:00,7.47,,,38.97,42.83,3.86,,,41.22,,,,,,0.71,,,,,51.0,,,16.952399999999997,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,04:00:00,7.93,,,28.72,32.06,3.34,,,56.48,,,,,,0.71,,,,,51.0,,,19.944,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,05:00:00,8.32,,,18.14,20.6,2.46,,,71.56,,,,,,0.5,,,,,69.0,,,24.7638,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/03/2023,06:00:00,6.47,,,14.87,17.34,2.47,,,68.52,,,,,,0.46,,,,,80.0,,,27.7554,,,,,,,,,,,,,,,,,,,,
