Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/04/2023,01:00:00,5.63,,,18.51,21.090000000000003,2.58,,,37.71,,,,,,0.8,,,,,51.0,,,14.958000000000002,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,02:00:00,4.63,,,37.22,43.21,5.99,,,19.11,,,,,,0.71,,,,,57.0,,,20.6088,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,03:00:00,6.18,,,51.07,58.44,7.37,,,9.81,,,,,,0.92,,,,,67.0,,,20.3595,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,04:00:00,6.76,,,54.54,75.59,21.05,,,7.8,,,,,,0.3,,,,,80.0,,,27.5892,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,05:00:00,4.99,,,52.83,86.75999999999999,33.93,,,7.55,,,,,,0.31,,,,,86.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,06:00:00,4.77,,,37.99,84.41,46.42,,,11.07,,,,,,0.41,,,,,88.0,,,24.83422,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,07:00:00,4.03,,,34.72,63.52,28.8,,,14.09,,,,,,2.01,,,,,84.0,,,26.7582,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,08:00:00,3.35,,,50.56,64.26,13.7,,,8.3,,,,,,2.12,,,,,77.0,,,24.4314,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,09:00:00,4.69,,,42.26,53.15,10.89,,,9.06,,,,,,1.87,,,,,70.0,,,22.6032,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/04/2023,10:00:00,3.39,,,24.4,32.16,7.76,,,21.63,,,,,,1.42,,,,,66.0,,,22.9356,,,,,,,,,,,,,,,,,,,,
