Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/07/2023,01:00:00,3.06,,,50.75,54.12,3.37,,,16.32,,,,,,0.73,,,,,56.0,,,13.988500000000002,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,02:00:00,4.3,,,45.25,47.92,2.67,,,24.5,,,,,,0.86,,,,,45.0,,,14.4594,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,03:00:00,5.32,,,40.5,43.47,2.97,,,34.75,,,,,,0.72,,,,,42.0,,,12.8805,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,04:00:00,4.56,,,30.0,33.93,3.93,,,45.5,,,,,,0.44,,,,,51.0,,,18.7806,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,05:00:00,3.46,,,21.5,24.46,2.96,,,48.25,,,,,,0.42,,,,,62.0,,,22.9356,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,06:00:00,4.2,,,13.25,16.46,3.21,,,55.25,,,,,,0.48,,,,,76.0,,,23.823525000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,07:00:00,4.43,,,12.25,16.61,4.36,,,53.5,,,,,,0.42,,,,,89.0,,,30.9132,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,08:00:00,3.17,,,17.5,19.85,2.35,,,38.0,,,,,,0.48,,,,,97.0,,,33.239999999999995,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,09:00:00,3.09,,,21.75,24.2,2.45,,,31.5,,,,,,0.52,,,,,103.0,,,33.239999999999995,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,10:00:00,2.61,,,13.75,16.61,2.86,,,38.75,,,,,,0.54,,,,,97.0,,,31.0794,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,11:00:00,3.84,,,8.75,11.64,2.89,,,57.25,,,,,,0.69,,,,,90.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,12:00:00,4.66,,,7.5,10.37,2.87,,,68.5,,,,,,0.38,,,,,84.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,13:00:00,4.62,,,9.5,12.33,2.83,,,62.0,,,,,,0.43,,,,,90.0,,,26.48361,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,14:00:00,3.38,,,10.87,13.65,2.78,,,46.25,,,,,,0.58,,,,,96.0,,,31.9104,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,15:00:00,3.32,,,9.03,12.48,3.45,,,28.25,,,,,,0.43,,,,,96.0,,,25.068500000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,16:00:00,3.54,,,9.94,12.89,2.95,,,16.25,,,,,,0.23,,,,,85.0,,,26.592,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,17:00:00,3.04,,,19.0,21.53,2.53,,,9.75,,,,,,0.26,,,,,75.0,,,26.4258,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,18:00:00,3.0,,,26.0,28.49,2.49,,,7.75,,,,,,0.3,,,,,84.0,,,29.5836,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,19:00:00,2.95,,,33.0,35.49,2.49,,,5.25,,,,,,0.31,,,,,94.0,,,32.575199999999995,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,20:00:00,2.77,,,34.5,38.44,3.94,,,7.75,,,,,,0.78,,,,,102.0,,,28.531,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,21:00:00,2.59,,,31.25,34.79,3.54,,,11.25,,,,,,0.66,,,,,104.0,,,33.0738,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,22:00:00,2.55,,,27.0,29.48,2.48,,,17.25,,,,,,0.88,,,,,95.0,,,25.068500000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/07/2023,23:00:00,2.98,,,33.75,37.02,3.27,,,14.25,,,,,,0.52,,,,,86.0,,,23.4065,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,00:00:00,3.41,,,41.5,44.81,3.31,,,10.5,,,,,,0.38,,,,,83.0,,,28.9188,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,01:00:00,3.69,,,44.75,47.75,3.0,,,11.25,,,,,,0.73,,,,,91.0,,,26.711225,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,02:00:00,3.23,,,41.0,43.81,2.81,,,15.0,,,,,,0.61,,,,,94.0,,,32.0766,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,03:00:00,4.11,,,35.25,38.79,3.54,,,22.75,,,,,,1.1,,,,,99.0,,,34.071,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,04:00:00,3.98,,,28.75,31.69,2.94,,,33.25,,,,,,0.97,,,,,106.0,,,35.234399999999994,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,05:00:00,3.18,,,22.0,25.2,3.2,,,42.0,,,,,,1.08,,,,,106.0,,,34.237199999999994,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/07/2023,06:00:00,3.09,,,15.75,19.1,3.35,,,53.25,,,,,,0.53,,,,,100.0,,,31.578,,,,,,,,,,,,,,,,,,,,
