Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,02/05/2023,08:00:00,6.89,,,115.74,170.64999999999998,54.91,,,7.41,,,,,,0.19,,,,,147.0,,,43.854580000000006,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,09:00:00,8.75,,,104.29,147.32,43.03,,,16.86,,,,,,0.23,,,,,161.0,,,46.813,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,10:00:00,6.64,,,64.49,76.11,11.62,,,41.93,,,,,,0.22,,,,,177.0,,,50.679135,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,11:00:00,5.92,,,33.09,37.510000000000005,4.42,,,78.27,,,,,,0.31,,,,,174.0,,,49.225813,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,12:00:00,5.86,,,16.54,19.46,2.92,,,100.23,,,,,,0.37,,,,,164.0,,,51.6882,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,13:00:00,5.74,,,8.27,12.05,3.78,,,117.15,,,,,,0.36,,,,,147.0,,,40.72211,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,14:00:00,5.14,,,7.52,9.94,2.42,,,124.73,,,,,,0.34,,,,,139.0,,,36.841,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,15:00:00,,,,,,,,,,,,,,,,,,,,127.0,,,35.3901555,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,16:00:00,5.14,,,12.59,16.04,3.45,,,115.64,,,,,,0.33,,,,,116.0,,,35.5668,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,17:00:00,5.11,,,10.81,13.27,2.46,,,122.13,,,,,,0.46,,,,,98.0,,,27.05315,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,18:00:00,4.99,,,14.87,16.98,2.11,,,116.11,,,,,,0.34,,,,,92.0,,,24.791500000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,19:00:00,4.85,,,14.73,16.61,1.88,,,105.03,,,,,,0.44,,,,,87.0,,,26.85561,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,20:00:00,4.46,,,11.68,13.57,1.89,,,105.28,,,,,,0.77,,,,,99.0,,,32.409,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,21:00:00,4.98,,,12.85,14.66,1.81,,,99.49,,,,,,0.72,,,,,96.0,,,24.323685,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,22:00:00,5.12,,,13.24,15.13,1.89,,,86.89,,,,,,0.52,,,,,85.0,,,22.496830000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2023,23:00:00,4.46,,,26.68,28.63,1.95,,,47.1,,,,,,0.72,,,,,73.0,,,18.974500000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,00:00:00,4.5,,,37.05,39.18,2.13,,,19.14,,,,,,1.03,,,,,64.0,,,17.614970000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,01:00:00,4.52,,,39.5,41.22,1.72,,,14.61,,,,,,1.07,,,,,58.0,,,18.7806,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,02:00:00,4.62,,,44.92,46.68,1.76,,,12.59,,,,,,0.49,,,,,55.0,,,15.58866,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,03:00:00,5.54,,,38.15,40.88,2.73,,,20.15,,,,,,0.2,,,,,61.0,,,18.22528,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,04:00:00,6.68,,,27.86,29.79,1.93,,,34.76,,,,,,0.23,,,,,67.0,,,21.7722,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,05:00:00,7.33,,,30.62,32.730000000000004,2.11,,,29.22,,,,,,0.4,,,,,64.0,,,17.470585000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,06:00:00,6.88,,,37.14,39.31,2.17,,,18.14,,,,,,0.67,,,,,57.0,,,18.6144,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,07:00:00,8.41,,,42.92,48.89,5.97,,,10.58,,,,,,0.67,,,,,55.0,,,16.39497,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,03/05/2023,08:00:00,7.39,,,40.75,52.06,11.31,,,9.09,,,,,,0.69,,,,,67.0,,,21.07298,,,,,,,,,,,,,,,,,,,,
