Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/01/2023,01:00:00,4.95,,,78.49,111.74675815,33.25675815,,,8.84,,,,,,1.19,,,,,41.0,,,10.249,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,02:00:00,3.88,,,73.7,96.0265658,22.3265658,,,13.38,,,,,,0.79,,,,,33.0,,,11.634,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,03:00:00,4.4,,,67.89,116.6786091,48.7886091,,,21.71,,,,,,1.26,,,,,37.0,,,11.7725,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,04:00:00,7.68,,,74.46,137.11874999999998,62.65875,,,22.72,,,,,,2.0,,,,,48.0,,,19.2792,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,05:00:00,7.77,,,78.49,134.51945425,56.02945425,,,16.4,,,,,,0.65,,,,,68.0,,,27.0906,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,06:00:00,7.74,,,76.48,134.51453425,58.03453425,,,24.74,,,,,,1.37,,,,,95.0,,,28.588230000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,07:00:00,9.73,,,84.3,145.20430499999998,60.904305,,,18.17,,,,,,1.83,,,,,103.0,,,33.4062,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,08:00:00,7.27,,,94.4,153.04859,58.64859,,,10.6,,,,,,1.82,,,,,98.0,,,30.9132,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,09:00:00,9.02,,,80.26,130.637635,50.377635,,,20.95,,,,,,1.9,,,,,88.0,,,28.0878,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/01/2023,10:00:00,7.96,,,50.73,130.3467141,79.6167141,,,31.55,,,,,,1.08,,,,,81.0,,,25.5948,,,,,,,,,,,,,,,,,,,,
