Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/02/2023,01:00:00,6.41,,,37.62,41.39,3.77,,,25.25,,,,,,0.63,,,,,41,,,10.181700000000001,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,02:00:00,6.8,,,35.96,39.480000000000004,3.52,,,24.49,,,,,,0.55,,,,,40,,,9.73175,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,03:00:00,7.22,,,31.68,35.09,3.41,,,33.08,,,,,,0.5,,,,,43,,,9.9303,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,04:00:00,6.08,,,24.84,28.45,3.61,,,47.47,,,,,,0.63,,,,,36,,,8.784,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,05:00:00,6.51,,,18.25,21.97,3.72,,,61.6,,,,,,0.58,,,,,28,,,8.64675,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,06:00:00,5.17,,,11.92,15.51,3.59,,,65.89,,,,,,0.39,,,,,35,,,9.379999999999999,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,07:00:00,4.92,,,22.05,25.75,3.7,,,36.86,,,,,,0.6,,,,,45,,,12.1929,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,08:00:00,5.7,,,42.25,55.55,13.3,,,8.84,,,,,,0.77,,,,,52,,,12.9015,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,09:00:00,5.34,,,48.19,62.89,14.7,,,8.08,,,,,,0.77,,,,,42,,,10.56825,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,10:00:00,4.85,,,34.39,40.53,6.14,,,16.41,,,,,,0.39,,,,,35,,,8.911,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,11:00:00,4.92,,,24.85,29.310000000000002,4.46,,,37.37,,,,,,0.22,,,,,41,,,11.1873,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,12:00:00,5.5,,,19.83,23.27,3.44,,,54.53,,,,,,0.26,,,,,48,,,17.568,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,13:00:00,5.2,,,12.3,16.73,4.43,,,68.17,,,,,,0.3,,,,,80,,,24.29325,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,14:00:00,7.5,,,8.85,13.27,4.42,,,74.98,,,,,,0.58,,,,,97,,,21.573999999999998,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,15:00:00,8.48,,,7.78,11.870000000000001,4.09,,,81.8,,,,,,0.17,,,,,87,,,20.866200000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,16:00:00,7.72,,,8.78,13.43,4.65,,,84.07,,,,,,0.21,,,,,79,,,21.1365,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,17:00:00,8.42,,,14.31,18.630000000000003,4.32,,,59.58,,,,,,0.25,,,,,75,,,19.1064,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/02/2023,18:00:00,5.8,,,22.61,26.919999999999998,4.31,,,38.08,,,,,,0.39,,,,,77,,,20.363400000000002,,,,,,,,,,,,,,,,,,,,
