Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/09/2023,01:00:00,4.69,,,27.06,30.53,3.47,,,40.0,,,,,,0.34,,,,,82.0,,,24.3615,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,02:00:00,3.07,,,21.5,24.72,3.22,,,45.07,,,,,,0.69,,,,,67.0,,,23.0535,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,03:00:00,5.28,,,22.76,26.47,3.71,,,43.3,,,,,,0.74,,,,,74.0,,,26.487,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,04:00:00,5.1,,,30.85,34.550000000000004,3.7,,,31.9,,,,,,0.81,,,,,88.0,,,31.5555,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,05:00:00,3.98,,,39.96,43.58,3.62,,,23.29,,,,,,0.79,,,,,105.0,,,35.643,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,06:00:00,4.75,,,45.27,49.120000000000005,3.85,,,17.72,,,,,,0.25,,,,,113.0,,,33.899,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,07:00:00,5.56,,,54.51,62.39,7.88,,,12.44,,,,,,0.32,,,,,105.0,,,34.989000000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,08:00:00,3.31,,,65.86,78.95,13.09,,,12.43,,,,,,0.37,,,,,109.0,,,40.94,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,09:00:00,4.38,,,40.78,56.39,15.61,,,22.62,,,,,,0.41,,,,,121.0,,,40.057500000000005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,10:00:00,4.68,,,25.34,31.87,6.53,,,37.99,,,,,,0.55,,,,,124.0,,,39.7305,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,11:00:00,2.58,,,13.55,16.400000000000002,2.85,,,54.12,,,,,,0.78,,,,,119.0,,,36.4605,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,12:00:00,3.02,,,11.29,14.34,3.05,,,69.4,,,,,,0.93,,,,,104.0,,,33.951750000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,13:00:00,5.42,,,8.28,11.829999999999998,3.55,,,83.69,,,,,,0.49,,,,,99.0,,,32.046,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,14:00:00,5.75,,,7.53,10.06,2.53,,,95.46,,,,,,0.77,,,,,97.0,,,30.5745,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,15:00:00,5.79,,,10.54,12.82,2.28,,,96.22,,,,,,1.54,,,,,90.0,,,27.631500000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,16:00:00,6.62,,,13.3,15.24,1.94,,,89.2,,,,,,1.69,,,,,79.0,,,23.528034,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,17:00:00,5.69,,,17.81,21.21,3.4,,,75.92,,,,,,1.0,,,,,74.0,,,25.0155,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,18:00:00,4.39,,,23.84,28.92,5.08,,,59.13,,,,,,0.65,,,,,79.0,,,26.814,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,19:00:00,4.61,,,21.83,24.41,2.58,,,57.63,,,,,,0.88,,,,,85.0,,,27.9585,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,20:00:00,5.77,,,18.31,22.04,3.73,,,65.4,,,,,,1.24,,,,,86.0,,,29.5935,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,21:00:00,7.2,,,12.04,15.12,3.08,,,70.66,,,,,,1.31,,,,,95.0,,,32.536500000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,22:00:00,7.18,,,10.79,14.32,3.53,,,77.17,,,,,,0.72,,,,,104.0,,,35.643,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/09/2023,23:00:00,4.69,,,8.29,11.71,3.42,,,78.2,,,,,,0.36,,,,,114.0,,,35.97,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,00:00:00,3.54,,,11.32,14.6,3.28,,,57.92,,,,,,0.5,,,,,106.0,,,33.1905,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,01:00:00,2.9,,,19.1,22.48,3.38,,,27.83,,,,,,0.54,,,,,97.0,,,32.536500000000004,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,02:00:00,4.34,,,22.63,25.36,2.73,,,15.04,,,,,,0.54,,,,,102.0,,,33.216048,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,03:00:00,5.56,,,15.84,18.21,2.37,,,31.34,,,,,,0.26,,,,,114.0,,,36.7875,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,04:00:00,5.46,,,11.32,13.93,2.61,,,43.88,,,,,,0.3,,,,,111.0,,,34.008,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,05:00:00,5.02,,,8.29,12.05,3.76,,,53.15,,,,,,0.36,,,,,97.0,,,30.084,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,06:00:00,3.34,,,10.31,11.98,1.67,,,29.34,,,,,,0.44,,,,,87.0,,,30.411,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,07:00:00,3.54,,,15.33,18.11,2.78,,,15.8,,,,,,0.32,,,,,99.0,,,38.749500000000005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,08:00:00,3.47,,,23.13,26.34,3.21,,,9.53,,,,,,0.34,,,,,138.0,,,52.32,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,09:00:00,4.2,,,21.62,23.84,2.22,,,9.28,,,,,,0.37,,,,,182.0,,,65.8905,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,10:00:00,5.03,,,13.83,16.79,2.96,,,22.06,,,,,,0.45,,,,,221.0,,,73.085,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/09/2023,11:00:00,2.99,,,8.8,10.85,2.05,,,38.11,,,,,,0.73,,,,,249.0,,,82.89450000000001,,,,,,,,,,,,,,,,,,,,
