Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/06/2023,01:00:00,3.88,,,68.17,68.69,0.52,,,36.74,,,,,,0.81,,,,,118.0,,,34.4865,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,02:00:00,3.98,,,74.98,75.2,0.22,,,28.94,,,,,,0.88,,,,,131.0,,,43.5444,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,03:00:00,4.26,,,79.02,79.25,0.23,,,21.64,,,,,,0.77,,,,,131.0,,,34.625,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,04:00:00,5.17,,,85.59,86.32000000000001,0.73,,,13.59,,,,,,0.67,,,,,119.0,,,37.7274,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,05:00:00,8.86,,,87.36,88.65,1.29,,,11.58,,,,,,0.47,,,,,108.0,,,36.7302,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,06:00:00,8.6,,,77.76,81.08,3.32,,,12.84,,,,,,0.55,,,,,113.0,,,35.518710000000006,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,07:00:00,6.89,,,79.02,89.69,10.67,,,8.3,,,,,,0.45,,,,,133.0,,,46.2036,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,08:00:00,8.7,,,81.3,93.3,12.0,,,8.56,,,,,,0.54,,,,,145.0,,,49.029,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,09:00:00,8.6,,,67.16,79.41,12.25,,,12.58,,,,,,0.69,,,,,150.0,,,51.3558,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,10:00:00,8.34,,,49.99,55.66,5.67,,,25.42,,,,,,0.6,,,,,159.0,,,55.01219999999999,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,11:00:00,8.66,,,23.48,29.85,6.37,,,39.01,,,,,,1.0,,,,,172.0,,,59.4996,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,12:00:00,9.12,,,12.63,14.11,1.48,,,54.36,,,,,,1.5,,,,,186.0,,,67.97579999999999,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,13:00:00,7.79,,,8.33,9.1,0.77,,,67.19,,,,,,1.18,,,,,223.0,,,68.202415,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,14:00:00,6.59,,,8.59,10.81,2.22,,,77.01,,,,,,0.71,,,,,256.0,,,86.92259999999999,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,15:00:00,4.93,,,7.83,9.46,1.63,,,86.57,,,,,,0.59,,,,,267.0,,,72.4355,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,16:00:00,3.55,,,9.09,9.97,0.88,,,93.11,,,,,,0.72,,,,,256.0,,,77.6154,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/06/2023,17:00:00,6.05,,,13.64,15.16,1.52,,,95.38,,,,,,0.22,,,,,211.0,,,64.3194,,,,,,,,,,,,,,,,,,,,
