Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/05/2023,00:00:00,21.93,,,59.71,,,3.87,,,,,,1.568,,,,,111.3,,,,,,,35.31,1008.7,32.4,137.98,1.594,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,01:00:00,24.17,,,72.95,,,3.89,,,,,,1.689,,,,,120.4,,,,,,,34.707,1008.4,35.85,113.35,1.575,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,01:59:59.990000,22.92,,,67.22,,,3.65,,,,,,1.319,,,,,130.9,,,,,,,34.108,1008.1,34.53,115.62,1.499,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,02:59:59.985000,21.19,,,57.57,,,3.34,,,,,,0.89,,,,,135.5,,,,,,,34.093,1007.9,32.84,116.07,1.274,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,03:59:59.980000,27.11,,,60.1,,,4.19,,,,,,0.657,,,,,134.6,,,,,,,33.867,1007.9,33.82,105.88,1.188,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,04:59:59.975000,24.7,,,49.58,,,3.8,,,,,,0.682,,,,,135.6,,,,,,,33.335,1008.0,34.41,93.03,1.637,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,05:59:59.970000,17.06,,,42.56,,,3.2,,,,,,0.446,,,,,130.5,,,,,,,32.849,1008.1,33.19,97.22,1.559,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,06:59:59.965000,16.87,,,43.17,,,4.39,,,,,,0.917,,,,,126.6,,,,,,,33.13,1008.4,33.01,114.44,1.155,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,07:59:59.960000,15.93,,,40.09,,,8.05,,,,,,0.697,,,,,137.9,,,,,,,34.697,1008.8,27.17,157.27,0.88,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,08:59:59.955000,19.17,,,52.69,,,14.5,,,,,,0.958,,,,,162.3,,,,,,,36.1,1009.1,22.68,224.08,1.85,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,09:59:59.950000,26.79,,,46.59,,,32.09,,,,,,0.685,,,,,183.5,,,,,,,37.303,1009.2,19.14,237.82,1.807,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,10:59:59.945000,22.9,,,33.75,,,47.38,,,,,,0.354,,,,,181.5,,,,,,,37.996,1009.1,19.15,270.15,1.844,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,11:59:59.940000,16.68,,,18.0,,,70.73,,,,,,0.388,,,,,178.0,,,,,,,37.753,1009.0,24.68,273.66,2.869,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,12:59:59.935000,14.61,,,14.18,,,76.57,,,,,,0.454,,,,,184.0,,,,,,,37.868,1008.9,26.35,276.72,3.148,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,13:59:59.930000,13.26,,,21.17,,,63.2,,,,,,0.374,,,,,183.2,,,,,,,38.001,1008.7,24.54,286.11,3.601,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,14:59:59.925000,14.67,,,25.76,,,52.8,,,,,,0.318,,,,,173.2,,,,,,,38.132,1008.5,22.46,280.61,3.396,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,15:59:59.920000,14.41,,,18.56,,,59.23,,,,,,0.22,,,,,165.1,,,,,,,38.235,1008.4,18.46,289.58,3.161,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,16:59:59.915000,14.28,,,16.88,,,64.12,,,,,,0.362,,,,,157.9,,,,,,,38.102,1008.2,17.57,291.75,2.997,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,17:59:59.910000,14.68,,,28.96,,,37.69,,,,,,0.317,,,,,152.9,,,,,,,37.705,1008.3,20.02,279.41,2.972,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,18:59:59.905000,42.87,,,32.4,,,39.25,,,,,,0.601,,,,,150.5,,,,,,,37.114,1008.5,24.17,276.24,2.557,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,19:59:59.900000,67.17,,,29.72,,,47.15,,,,,,0.553,,,,,149.8,,,,,,,36.623,1008.8,27.79,272.19,2.149,,,,,,,,,,,,,
EPAA MOBILE,01/05/2023,20:59:59.895000,61.06,,,35.14,,,34.54,,,,,,1.112,,,,,150.7,,,,,,,36.583,1009.0,24.59,257.74,1.827,,,,,,,,,,,,,
