Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/10/2023,00:00:00,4.27,,,7.91,,,59.77,,,,,,1.376,,,,,81.7,,,,,,,37.474,1009.9,58.16,332.17,1.451,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,01:00:00,2.04,,,8.63,,,61.73,,,,,,0.685,,,,,71.3,,,,,,,37.248,1009.7,61.49,343.77,1.216,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,01:59:59.990000,1.88,,,5.63,,,66.91,,,,,,0.782,,,,,71.9,,,,,,,37.241,1009.4,65.5,24.02,1.382,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,02:59:59.985000,2.58,,,7.27,,,47.23,,,,,,1.113,,,,,72.6,,,,,,,36.878,1009.3,68.76,7.16,1.049,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,03:59:59.980000,3.13,,,9.6,,,30.96,,,,,,1.556,,,,,72.4,,,,,,,36.714,1009.3,68.19,120.74,0.491,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,04:59:59.975000,10.8,,,19.72,,,4.09,,,,,,1.582,,,,,76.1,,,,,,,36.322,1009.4,68.6,105.78,1.048,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,05:59:59.970000,12.59,,,20.52,,,3.19,,,,,,1.329,,,,,70.8,,,,,,,36.056,1009.6,71.24,148.15,0.815,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,06:59:59.965000,11.74,,,19.14,,,3.24,,,,,,2.28,,,,,76.4,,,,,,,36.108,1009.9,72.19,137.83,1.221,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,07:59:59.960000,10.9,,,18.32,,,7.94,,,,,,2.15,,,,,81.2,,,,,,,36.583,1010.2,69.82,164.43,0.919,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,08:59:59.955000,5.11,,,6.59,,,61.15,,,,,,1.995,,,,,105.1,,,,,,,37.211,1010.5,66.59,302.87,1.867,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,09:59:59.950000,5.46,,,4.85,,,66.78,,,,,,1.95,,,,,90.3,,,,,,,37.464,1010.7,63.13,294.58,1.989,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,10:59:59.945000,4.37,,,6.06,,,72.77,,,,,,0.999,,,,,81.4,,,,,,,37.944,1010.7,55.26,299.77,1.706,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,11:59:59.940000,8.41,,,7.41,,,77.59,,,,,,0.712,,,,,85.2,,,,,,,38.16,1010.4,50.62,286.91,2.363,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,12:59:59.935000,8.28,,,6.45,,,85.48,,,,,,1.029,,,,,87.9,,,,,,,38.271,1010.1,49.68,286.23,2.538,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,13:59:59.930000,9.49,,,7.45,,,71.82,,,,,,1.652,,,,,82.1,,,,,,,38.341,1009.8,48.64,287.68,2.835,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,14:59:59.925000,7.28,,,9.4,,,60.69,,,,,,1.988,,,,,105.3,,,,,,,38.104,1009.5,52.15,292.71,3.11,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,15:59:59.920000,7.21,,,4.92,,,79.13,,,,,,1.292,,,,,116.2,,,,,,,38.051,1009.4,52.9,298.97,2.793,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,16:59:59.915000,11.76,,,5.74,,,76.09,,,,,,0.869,,,,,112.3,,,,,,,38.085,1009.3,49.92,294.2,2.451,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,17:59:59.910000,10.17,,,5.28,,,89.2,,,,,,1.222,,,,,104.6,,,,,,,37.816,1009.3,53.88,293.34,2.304,,,,,,,,,,,,,
EPAA MOBILE,01/10/2023,18:59:59.905000,8.23,,,7.88,,,71.67,,,,,,1.317,,,,,90.6,,,,,,,37.573,1009.4,56.4,286.53,2.052,,,,,,,,,,,,,
