Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/07/2023,00:00:00,5.13,,,14.38,,,18.34,,,,,,0.769,,,,,57.3,,,,,,,37.489,1004.3,61.17,231.05,1.677,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,01:00:00,7.27,,,14.05,,,21.78,,,,,,0.971,,,,,65.9,,,,,,,37.395,1004.1,61.93,201.74,1.821,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,01:59:59.990000,30.93,,,14.99,,,19.22,,,,,,1.79,,,,,61.6,,,,,,,37.089,1003.7,66.5,192.43,1.906,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,02:59:59.985000,14.18,,,15.56,,,24.02,,,,,,0.551,,,,,55.1,,,,,,,36.346,1003.7,70.34,151.27,2.176,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,03:59:59.980000,5.37,,,12.44,,,31.67,,,,,,0.389,,,,,52.8,,,,,,,36.147,1003.8,72.47,158.8,2.076,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,04:59:59.975000,6.05,,,11.67,,,26.61,,,,,,0.654,,,,,59.5,,,,,,,36.008,1004.1,71.92,167.45,1.772,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,05:59:59.970000,25.67,,,13.16,,,16.55,,,,,,1.364,,,,,52.1,,,,,,,36.05,1004.3,71.09,149.34,1.647,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,06:59:59.965000,10.66,,,13.63,,,20.76,,,,,,0.044,,,,,48.3,,,,,,,35.981,1004.7,68.64,143.65,1.968,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,07:59:59.960000,5.03,,,12.61,,,19.67,,,,,,0.398,,,,,55.3,,,,,,,36.566,1005.0,60.74,166.16,1.769,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,08:59:59.955000,6.79,,,12.89,,,24.93,,,,,,0.734,,,,,66.0,,,,,,,37.619,1005.0,56.16,198.18,1.862,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,09:59:59.950000,29.44,,,14.5,,,26.43,,,,,,1.459,,,,,70.5,,,,,,,38.65,1005.2,45.45,210.94,1.857,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,10:59:59.945000,15.91,,,14.29,,,23.1,,,,,,0.446,,,,,67.2,,,,,,,39.852,1005.1,33.68,192.18,1.637,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,11:59:59.940000,6.34,,,13.8,,,29.81,,,,,,0.411,,,,,66.8,,,,,,,40.421,1004.9,29.93,248.29,1.757,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,12:59:59.935000,6.78,,,13.15,,,41.14,,,,,,0.507,,,,,76.6,,,,,,,40.108,1004.8,39.41,286.82,2.998,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,13:59:59.930000,6.51,,,12.67,,,40.65,,,,,,0.65,,,,,93.2,,,,,,,39.738,1004.6,41.61,287.97,3.354,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,14:59:59.925000,8.78,,,12.94,,,26.23,,,,,,0.824,,,,,94.3,,,,,,,39.755,1004.4,41.09,274.56,3.088,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,15:59:59.920000,22.06,,,15.77,,,26.43,,,,,,1.311,,,,,87.8,,,,,,,39.782,1004.3,42.6,273.24,2.867,,,,,,,,,,,,,
EPAA MOBILE,01/07/2023,16:59:59.915000,4.05,,,15.01,,,30.47,,,,,,0.095,,,,,85.5,,,,,,,39.332,1004.1,47.22,278.41,3.323,,,,,,,,,,,,,
