Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/05/2020,00:00:00,22.09,,,19.68,,,19.87,,,,,,0.302,,,,,111.2,,,,,,,34.7,1010.7,24.19,105.28,1.44,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,01:00:00,11.0,,,14.78,,,27.83,,,,,,0.439,,,,,109.4,,,,,,,34.6,1010.5,25.3,121.98,0.81,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,01:59:59.990000,8.16,,,12.25,,,32.07,,,,,,1.305,,,,,99.9,,,,,,,34.7,1010.4,26.36,29.81,0.93,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,02:59:59.985000,5.67,,,10.56,,,32.6,,,,,,1.062,,,,,89.1,,,,,,,34.4,1010.2,26.57,29.73,0.95,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,03:59:59.980000,4.79,,,11.81,,,23.06,,,,,,1.011,,,,,90.9,,,,,,,34.0,1010.1,27.58,39.6,0.83,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,04:59:59.975000,6.2,,,10.45,,,28.43,,,,,,0.514,,,,,81.6,,,,,,,33.1,1010.2,28.74,62.92,1.8,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,05:59:59.970000,5.67,,,9.77,,,30.37,,,,,,1.2,,,,,79.5,,,,,,,32.4,1010.9,33.76,28.37,1.43,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,06:59:59.965000,3.44,,,6.35,,,46.38,,,,,,0.905,,,,,93.2,,,,,,,30.5,1011.7,48.85,18.58,2.26,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,07:59:59.960000,2.29,,,4.78,,,48.29,,,,,,1.081,,,,,90.2,,,,,,,31.0,1011.7,46.61,44.2,2.22,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,08:59:59.955000,7.04,,,5.95,,,45.63,,,,,,0.423,,,,,89.0,,,,,,,32.5,1012.4,41.37,37.02,1.46,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,09:59:59.950000,7.46,,,6.85,,,48.2,,,,,,0.874,,,,,85.0,,,,,,,33.8,1012.5,36.79,34.5,1.05,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,10:59:59.945000,6.62,,,6.37,,,55.32,,,,,,0.878,,,,,77.9,,,,,,,34.7,1012.2,32.98,94.77,1.98,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,11:59:59.940000,5.7,,,4.77,,,67.18,,,,,,0.429,,,,,76.0,,,,,,,36.4,1011.9,25.64,117.98,1.19,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,12:59:59.935000,5.18,,,4.9,,,79.03,,,,,,0.179,,,,,71.0,,,,,,,37.9,1011.4,20.6,124.27,1.45,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,13:59:59.930000,5.48,,,3.74,,,80.48,,,,,,0.591,,,,,50.8,,,,,,,40.0,1010.8,14.24,141.28,0.65,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,14:59:59.925000,3.45,,,8.56,,,88.25,,,,,,0.882,,,,,38.1,,,,,,,38.6,1010.2,24.45,352.05,2.63,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,15:59:59.920000,2.94,,,6.47,,,93.48,,,,,,0.414,,,,,32.7,,,,,,,38.2,1009.9,25.73,6.07,2.57,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,16:59:59.915000,6.61,,,5.39,,,89.67,,,,,,0.504,,,,,51.7,,,,,,,37.6,1009.7,25.86,16.03,2.19,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,17:59:59.910000,6.21,,,6.25,,,80.74,,,,,,0.795,,,,,37.5,,,,,,,37.1,1009.7,27.01,18.0,1.65,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,18:59:59.905000,5.91,,,7.88,,,74.48,,,,,,1.028,,,,,28.2,,,,,,,36.4,1009.8,27.59,37.37,1.4,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,19:59:59.900000,5.53,,,11.95,,,47.81,,,,,,0.973,,,,,60.3,,,,,,,36.1,1010.0,28.5,38.69,0.63,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,20:59:59.895000,6.61,,,20.38,,,11.09,,,,,,0.052,,,,,48.2,,,,,,,36.3,1010.4,27.57,329.21,0.09,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,21:59:59.890000,6.68,,,19.17,,,3.75,,,,,,0.703,,,,,55.7,,,,,,,36.4,1010.6,23.63,206.5,0.88,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,22:59:59.885000,5.69,,,19.01,,,9.81,,,,,,1.556,,,,,38.5,,,,,,,36.1,1010.6,27.19,225.25,2.32,,,,,,,,,,,,,
EPAA MOBILE,01/05/2020,23:59:59.880000,5.06,,,11.43,,,24.57,,,,,,1.422,,,,,70.7,,,,,,,35.5,1010.4,25.13,206.32,1.96,,,,,,,,,,,,,
EPAA MOBILE,02/05/2020,00:59:59.875000,7.38,,,7.23,,,36.01,,,,,,0.469,,,,,66.3,,,,,,,34.0,1010.3,28.69,223.53,2.57,,,,,,,,,,,,,
EPAA MOBILE,02/05/2020,01:59:59.870000,7.12,,,7.65,,,59.1,,,,,,0.954,,,,,86.8,,,,,,,33.3,1010.0,32.61,265.39,2.73,,,,,,,,,,,,,
EPAA MOBILE,02/05/2020,02:59:59.865000,5.38,,,24.12,,,15.94,,,,,,1.138,,,,,78.2,,,,,,,31.9,1010.1,39.63,268.01,1.94,,,,,,,,,,,,,
EPAA MOBILE,02/05/2020,03:59:59.860000,4.38,,,29.31,,,3.51,,,,,,1.172,,,,,73.6,,,,,,,31.3,1010.3,40.64,278.94,2.13,,,,,,,,,,,,,
EPAA MOBILE,02/05/2020,04:59:59.855000,7.67,,,14.0,,,37.99,,,,,,0.167,,,,,59.1,,,,,,,30.3,1010.5,45.99,296.02,1.81,,,,,,,,,,,,,
