Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,02/01/2023,00:00:00,3.7,,8.1,87.28,,49.04,6.87,,55.46,,,,,,,,,84.1,,69.24,28.5,,28.51,20.23,20.97,1019.5,66.03,300.88,1.05,4.09,,,,,,,,,53.25,,,
Baniyas School,02/01/2023,01:00:00,4.33,,8.1,79.17,,49.04,4.55,,42.33,,,,,,,,,81.7,,69.24,24.7,,28.51,19.09,20.18,1019.0,67.56,262.05,0.29,4.88,,,,,,,,,52.58,,,
Baniyas School,02/01/2023,02:00:00,4.48,,8.1,69.0,,49.04,4.18,,30.08,,,,,,,,,81.3,,69.24,27.4,,28.51,18.24,19.4,1018.2,69.54,34.82,0.13,4.84,,,,,,,,,52.44,,,
Baniyas School,02/01/2023,03:00:00,4.79,,8.1,63.58,,49.04,5.35,,18.75,,,,,,,,,86.1,,69.24,26.2,,28.51,17.84,19.1,1017.9,72.23,257.69,0.4,3.31,,,,,,,,,51.53,,,
Baniyas School,02/01/2023,04:00:00,5.08,,8.1,63.77,,49.04,4.75,,11.33,,,,,,,,,81.4,,69.24,25.9,,28.51,17.87,19.09,1017.7,73.96,256.29,0.51,4.05,,,,,,,,,51.33,,,
Baniyas School,02/01/2023,05:00:00,5.16,,8.1,52.23,,49.04,3.67,,6.57,,,,,,,,,81.1,,69.24,20.5,,28.51,16.88,17.98,1017.5,74.73,138.47,0.22,5.22,,,,,,,,,51.51,,,
Baniyas School,02/01/2023,06:00:00,4.96,,8.1,47.81,,49.04,5.81,,5.52,,,,,,,,,90.0,,69.24,23.7,,28.51,16.7,17.62,1017.8,75.5,149.15,0.9,6.47,,,,,,,,,56.52,,,
Baniyas School,02/01/2023,07:00:00,3.17,,8.1,50.43,,49.04,4.06,,4.91,,,,,,,,,104.6,,69.24,27.4,,28.51,16.13,16.89,1018.7,74.54,124.14,0.6,5.16,,,,,,,,,56.14,,,
Baniyas School,02/01/2023,08:00:00,3.32,,8.1,44.2,,49.04,5.52,,4.74,,,,,,,,,116.5,,69.24,26.4,,28.51,16.38,17.06,1019.5,75.95,121.06,1.09,7.57,,,,,,,,,58.17,,,
Baniyas School,02/01/2023,09:00:00,6.7,,8.1,53.33,,49.04,5.03,,4.8,,,,,,,,,125.2,,69.24,34.3,,28.51,18.27,17.9,1020.0,75.77,108.39,1.32,5.08,,,,,,,,,53.88,,,
Baniyas School,02/01/2023,10:00:00,,,8.1,,,49.04,,,4.88,,,,,,,,,,,69.24,,,28.51,,,,,,,,,,,,,,,,,,,
Baniyas School,02/01/2023,11:00:00,8.23,,8.1,54.65,,49.04,36.4,,9.32,,,,,,,,,,,69.24,16.3,,28.51,24.42,23.02,1020.5,62.26,30.54,1.42,6.61,,,,,,,,,56.64,,,
Baniyas School,02/01/2023,12:00:00,6.28,,8.1,20.4,,49.04,84.7,,20.74,,,,,,,,,46.4,,69.24,19.8,,28.51,25.91,24.42,1020.1,57.62,357.06,2.6,5.12,,,,,,,,,62.15,,,
