Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation
Baniyas School,01/11/2023,00:00:00,5.2,,3.94,46.7,,40.04,37.17,,49.16,,,,,,,,,83.2,,79.6,30.5,,23.79,28.97,29.25,1010.2,51.2,49.49,1.35,2.98,,,,,,,,,49.3,
Baniyas School,01/11/2023,01:00:00,4.83,,3.94,36.44,,40.04,45.37,,46.6,,,,,,,,,76.9,,79.6,31.8,,23.79,28.42,28.7,1010.0,53.18,42.57,1.13,2.96,,,,,,,,,48.92,
Baniyas School,01/11/2023,02:00:00,4.52,,3.94,30.18,,40.04,43.6,,44.24,,,,,,,,,72.0,,79.6,23.3,,23.79,28.01,28.28,1009.9,53.76,47.91,1.21,2.95,,,,,,,,,47.24,
Baniyas School,01/11/2023,03:00:00,5.12,,3.94,30.5,,40.04,37.23,,42.8,,,,,,,,,74.4,,79.6,18.9,,23.79,27.18,27.62,1009.7,55.78,75.16,0.72,3.09,,,,,,,,,46.7,
Baniyas School,01/11/2023,04:00:00,4.47,,3.94,34.19,,40.04,27.04,,42.28,,,,,,,,,67.1,,79.6,23.7,,23.79,26.55,26.91,1009.7,56.85,66.03,0.33,2.99,,,,,,,,,46.95,
Baniyas School,01/11/2023,05:00:00,4.44,,3.94,26.64,,40.04,29.6,,38.92,,,,,,,,,54.5,,79.6,23.6,,23.79,26.12,26.25,1009.9,57.31,25.96,0.07,3.2,,,,,,,,,46.54,
Baniyas School,01/11/2023,06:00:00,4.16,,3.94,44.28,,40.04,9.55,,33.32,,,,,,,,,51.4,,79.6,29.2,,23.79,25.63,26.01,1010.4,58.77,104.17,0.46,3.4,,,,,,,,,57.34,
Baniyas School,01/11/2023,07:00:00,3.18,,3.94,56.82,,40.04,3.38,,29.12,,,,,,,,,51.6,,79.6,25.2,,23.79,25.31,25.72,1011.1,58.25,24.52,0.06,3.32,,,,,,,,,51.47,
Baniyas School,01/11/2023,08:00:00,3.16,,3.94,72.45,,40.04,1.74,,24.69,,,,,,,,,83.6,,79.6,36.6,,23.79,26.8,27.23,1011.9,55.63,162.21,0.49,6.21,,,,,,,,,58.33,
Baniyas School,01/11/2023,09:00:00,3.76,,3.94,62.25,,40.04,8.34,,20.06,,,,,,,,,126.3,,79.6,35.0,,23.79,29.17,29.22,1012.4,49.83,171.18,0.96,5.15,,,,,,,,,55.16,
Baniyas School,01/11/2023,10:00:00,3.83,,3.94,31.5,,40.04,26.3,,17.9,,,,,,,,,113.5,,79.6,32.5,,23.79,30.49,30.03,1012.7,40.56,156.94,1.68,2.91,,,,,,,,,57.66,
Baniyas School,01/11/2023,11:00:00,4.28,,3.94,19.4,,40.04,55.19,,20.14,,,,,,,,,91.5,,79.6,29.7,,23.79,32.65,32.07,1012.3,28.34,174.94,1.85,3.16,,,,,,,,,54.82,
Baniyas School,01/11/2023,12:00:00,3.24,,3.94,12.38,,40.04,76.06,,26.27,,,,,,,,,92.4,,79.6,27.3,,23.79,34.93,34.31,1011.4,20.96,181.74,1.58,3.28,,,,,,,,,52.58,
Baniyas School,01/11/2023,13:00:00,3.78,,3.94,9.73,,40.04,83.8,,33.05,,,,,,,,,79.6,,79.6,20.0,,23.79,35.89,35.47,1010.6,14.21,143.83,0.88,3.4,,,,,,,,,60.67,
Baniyas School,01/11/2023,14:00:00,4.7,,3.94,9.44,,40.04,84.27,,42.38,,,,,,,,,71.8,,79.6,15.1,,23.79,36.63,36.67,1009.6,12.77,54.85,0.38,3.02,,,,,,,,,54.06,
Baniyas School,01/11/2023,15:00:00,4.88,,3.94,10.03,,40.04,81.15,,52.11,,,,,,,,,76.2,,79.6,15.0,,23.79,36.34,36.65,1009.1,12.82,30.13,0.94,3.01,,,,,,,,,55.28,
Baniyas School,01/11/2023,16:00:00,3.74,,3.94,20.96,,40.04,85.9,,62.63,,,,,,,,,64.7,,79.6,17.6,,23.79,35.77,36.93,1008.9,22.14,323.21,0.75,3.05,,,,,,,,,56.21,
Baniyas School,01/11/2023,17:00:00,3.38,,3.94,57.84,,40.04,96.73,,73.67,,,,,,,,,61.2,,79.6,13.9,,23.79,34.08,34.27,1009.0,28.85,351.29,3.48,3.2,,,,,,,,,53.43,
Baniyas School,01/11/2023,18:00:00,3.14,,3.94,55.34,,40.04,78.06,,80.14,,,,,,,,,87.6,,79.6,16.5,,23.79,32.23,32.39,1009.5,31.21,353.37,3.93,3.27,,,,,,,,,59.25,
Baniyas School,01/11/2023,19:00:00,3.14,,3.94,47.46,,40.04,50.76,,79.59,,,,,,,,,91.0,,79.6,23.7,,23.79,31.14,31.41,1010.0,34.49,354.2,3.42,3.15,,,,,,,,,53.19,
Baniyas School,01/11/2023,20:00:00,3.46,,3.94,63.7,,40.04,31.13,,73.97,,,,,,,,,80.2,,79.6,18.3,,23.79,30.6,30.84,1010.5,41.95,2.85,2.93,3.09,,,,,,,,,62.42,
