Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation
Baniyas School,01/10/2023,00:00:00,8.07,,5.87,46.37,,34.07,50.49,,88.01,,,,,,,,,80.2,,93.81,47.4,,57.47,31.48,31.84,1004.6,53.99,339.99,0.27,2.94,,,,,,,,,50.31,
Baniyas School,01/10/2023,01:00:00,8.96,,5.87,46.72,,34.07,43.12,,76.98,,,,,,,,,66.4,,93.81,41.6,,57.47,31.23,31.51,1004.2,55.08,314.09,0.28,3.23,,,,,,,,,50.98,
Baniyas School,01/10/2023,02:00:00,8.76,,5.87,53.06,,34.07,31.5,,68.84,,,,,,,,,66.1,,93.81,50.0,,57.47,30.86,31.29,1003.9,55.98,300.63,0.46,3.38,,,,,,,,,51.24,
Baniyas School,01/10/2023,03:00:00,9.11,,5.87,76.37,,34.07,4.84,,58.43,,,,,,,,,59.1,,93.81,43.1,,57.47,30.43,30.75,1003.8,55.27,231.5,0.95,3.83,,,,,,,,,49.52,
Baniyas School,01/10/2023,04:00:00,10.35,,5.87,72.11,,34.07,11.99,,46.2,,,,,,,,,88.4,,93.81,46.0,,57.47,29.68,30.23,1003.8,64.16,239.1,1.09,4.77,,,,,,,,,49.65,
Baniyas School,01/10/2023,05:00:00,9.35,,5.87,38.43,,34.07,25.22,,37.95,,,,,,,,,110.5,,93.81,50.6,,57.47,28.89,29.32,1004.0,72.39,240.54,1.65,3.88,,,,,,,,,61.61,
Baniyas School,01/10/2023,06:00:00,7.17,,5.87,36.85,,34.07,30.25,,31.85,,,,,,,,,101.0,,93.81,50.3,,57.47,28.51,28.72,1004.6,73.77,236.35,1.58,3.13,,,,,,,,,63.78,
Baniyas School,01/10/2023,07:00:00,7.33,,5.87,52.08,,34.07,15.33,,26.59,,,,,,,,,82.9,,93.81,57.2,,57.47,28.47,28.7,1005.1,75.67,236.2,1.45,3.59,,,,,,,,,53.16,
Baniyas School,01/10/2023,08:00:00,8.03,,5.87,58.26,,34.07,15.05,,22.16,,,,,,,,,116.3,,93.81,58.0,,57.47,29.88,29.92,1005.6,70.49,229.5,1.43,3.77,,,,,,,,,52.05,
Baniyas School,01/10/2023,09:00:00,8.03,,5.87,47.5,,34.07,24.19,,19.8,,,,,,,,,125.4,,93.81,77.1,,57.47,32.72,32.52,1006.0,61.21,244.25,1.29,4.03,,,,,,,,,52.13,
Baniyas School,01/10/2023,10:00:00,7.4,,5.87,35.47,,34.07,74.22,,25.14,,,,,,,,,113.5,,93.81,75.4,,57.47,34.52,34.63,1006.3,54.73,278.9,0.98,3.18,,,,,,,,,51.32,
Baniyas School,01/10/2023,11:00:00,7.39,,5.87,16.04,,34.07,131.48,,40.97,,,,,,,,,122.4,,93.81,70.5,,57.47,35.86,35.71,1006.2,47.43,339.27,1.51,3.37,,,,,,,,,50.41,
Baniyas School,01/10/2023,12:00:00,3.67,,5.87,11.76,,34.07,138.55,,56.79,,,,,,,,,100.3,,93.81,62.5,,57.47,36.45,36.19,1005.8,46.1,304.11,1.73,3.09,,,,,,,,,51.72,
Baniyas School,01/10/2023,13:00:00,3.4,,5.87,17.3,,34.07,120.29,,68.67,,,,,,,,,93.1,,93.81,69.9,,57.47,37.1,36.65,1005.1,38.47,331.74,2.04,3.03,,,,,,,,,61.98,
Baniyas School,01/10/2023,14:00:00,3.43,,5.87,22.92,,34.07,114.38,,79.19,,,,,,,,,82.2,,93.81,62.8,,57.47,37.69,37.07,1004.3,36.07,328.83,2.36,2.92,,,,,,,,,60.32,
Baniyas School,01/10/2023,15:00:00,4.34,,5.87,11.9,,34.07,111.76,,91.24,,,,,,,,,85.7,,93.81,57.2,,57.47,37.27,36.81,1003.8,38.64,332.05,2.88,3.41,,,,,,,,,67.37,
Baniyas School,01/10/2023,16:00:00,4.05,,5.87,10.08,,34.07,117.48,,104.04,,,,,,,,,90.6,,93.81,62.1,,57.47,36.12,35.45,1003.6,47.1,347.17,3.52,3.23,,,,,,,,,66.6,
Baniyas School,01/10/2023,17:00:00,4.04,,5.87,11.95,,34.07,108.24,,114.55,,,,,,,,,123.2,,93.81,74.0,,57.47,35.54,35.35,1003.7,44.53,337.13,2.56,3.3,,,,,,,,,58.3,
Baniyas School,01/10/2023,18:00:00,2.89,,5.87,14.1,,34.07,122.33,,120.56,,,,,,,,,108.8,,93.81,72.1,,57.47,34.54,34.53,1003.8,45.64,349.09,3.19,3.14,,,,,,,,,58.39,
Baniyas School,01/10/2023,19:00:00,2.8,,5.87,16.58,,34.07,130.65,,120.46,,,,,,,,,95.5,,93.81,68.4,,57.47,33.68,33.76,1004.0,46.74,349.21,2.44,2.85,,,,,,,,,66.01,
Baniyas School,01/10/2023,20:00:00,3.07,,5.87,20.97,,34.07,117.6,,117.84,,,,,,,,,84.8,,93.81,48.3,,57.47,33.17,33.4,1004.3,48.81,348.96,1.38,3.04,,,,,,,,,61.79,
Baniyas School,01/10/2023,21:00:00,3.03,,5.87,27.0,,34.07,98.74,,115.15,,,,,,,,,78.3,,93.81,49.0,,57.47,32.81,33.11,1004.6,50.44,347.7,0.98,3.11,,,,,,,,,51.39,
Baniyas School,01/10/2023,22:00:00,3.01,,5.87,45.0,,34.07,72.78,,109.95,,,,,,,,,85.9,,93.81,41.0,,57.47,32.73,32.82,1005.0,49.98,292.75,1.1,3.01,,,,,,,,,51.41,
Baniyas School,01/10/2023,23:00:00,3.08,,5.87,28.83,,34.07,102.56,,108.8,,,,,,,,,90.9,,93.81,44.7,,57.47,32.66,32.89,1005.1,52.9,275.36,1.57,3.06,,,,,,,,,50.13,
Baniyas School,02/10/2023,00:00:00,3.59,,4.82,44.49,,28.87,65.33,,102.28,,,,,,,,,90.7,,102.84,41.0,,35.89,32.17,32.4,1004.7,53.74,263.03,1.15,3.06,,,,,,,,,49.58,
Baniyas School,02/10/2023,01:00:00,3.16,,4.82,44.35,,28.87,67.67,,97.21,,,,,,,,,80.9,,102.84,47.9,,35.89,31.35,31.64,1004.4,55.88,220.29,1.08,3.21,,,,,,,,,49.53,
Baniyas School,02/10/2023,02:00:00,3.06,,4.82,41.88,,28.87,56.03,,88.92,,,,,,,,,100.7,,102.84,50.2,,35.89,30.48,30.68,1003.8,56.62,221.63,1.38,3.14,,,,,,,,,49.48,
Baniyas School,02/10/2023,03:00:00,3.2,,4.82,30.69,,28.87,79.83,,82.57,,,,,,,,,116.1,,102.84,46.8,,35.89,29.85,30.08,1003.6,58.72,227.27,1.49,3.1,,,,,,,,,49.4,
Baniyas School,02/10/2023,04:00:00,2.83,,4.82,28.92,,28.87,77.37,,77.54,,,,,,,,,121.3,,102.84,39.9,,35.89,29.3,29.45,1003.7,59.58,218.61,1.76,3.3,,,,,,,,,49.64,
Baniyas School,02/10/2023,05:00:00,2.97,,4.82,27.98,,28.87,75.31,,74.61,,,,,,,,,101.4,,102.84,40.5,,35.89,28.94,29.07,1003.9,59.59,217.22,1.82,3.34,,,,,,,,,61.51,
Baniyas School,02/10/2023,06:00:00,6.46,,4.82,23.85,,28.87,76.95,,75.13,,,,,,,,,111.2,,102.84,46.0,,35.89,28.41,28.55,1004.2,60.69,207.05,1.66,3.19,,,,,,,,,61.59,
Baniyas School,02/10/2023,07:00:00,6.72,,4.82,48.96,,28.87,49.3,,68.47,,,,,,,,,96.8,,102.84,42.4,,35.89,28.26,28.37,1004.6,60.99,210.38,1.62,4.98,,,,,,,,,53.86,
Baniyas School,02/10/2023,08:00:00,8.05,,4.82,56.04,,28.87,45.87,,66.04,,,,,,,,,113.6,,102.84,32.5,,35.89,29.7,29.71,1005.3,56.57,202.9,1.78,4.97,,,,,,,,,56.1,
Baniyas School,02/10/2023,09:00:00,8.47,,4.82,38.7,,28.87,63.72,,65.55,,,,,,,,,121.0,,102.84,38.1,,35.89,31.92,31.47,1005.8,50.28,212.61,2.01,4.44,,,,,,,,,53.54,
Baniyas School,02/10/2023,10:00:00,11.19,,4.82,24.23,,28.87,88.44,,69.6,,,,,,,,,134.1,,102.84,39.7,,35.89,34.79,34.21,1006.0,43.16,216.77,1.45,4.12,,,,,,,,,52.73,
Baniyas School,02/10/2023,11:00:00,10.82,,4.82,13.05,,28.87,117.98,,74.37,,,,,,,,,122.0,,102.84,33.8,,35.89,36.11,36.03,1006.0,40.23,257.53,0.85,3.74,,,,,,,,,54.65,
Baniyas School,02/10/2023,12:00:00,4.0,,4.82,15.37,,28.87,142.87,,82.56,,,,,,,,,102.9,,102.84,24.3,,35.89,36.93,36.89,1005.6,37.06,265.72,1.09,3.57,,,,,,,,,53.26,
Baniyas School,02/10/2023,13:00:00,3.3,,4.82,15.11,,28.87,163.04,,93.52,,,,,,,,,82.8,,102.84,18.8,,35.89,37.31,36.92,1004.7,35.84,306.74,1.37,3.61,,,,,,,,,60.98,
Baniyas School,02/10/2023,14:00:00,4.05,,4.82,14.59,,28.87,139.03,,101.28,,,,,,,,,73.3,,102.84,26.6,,35.89,37.35,36.97,1003.8,34.94,308.45,1.93,3.63,,,,,,,,,57.49,
Baniyas School,02/10/2023,15:00:00,4.57,,4.82,19.72,,28.87,110.5,,108.93,,,,,,,,,62.4,,102.84,21.9,,35.89,37.65,37.22,1003.2,30.7,319.95,1.76,3.92,,,,,,,,,59.1,
Baniyas School,02/10/2023,16:00:00,4.63,,4.82,22.53,,28.87,152.63,,122.28,,,,,,,,,87.6,,102.84,19.8,,35.89,37.38,37.37,1002.9,32.07,301.82,1.96,3.97,,,,,,,,,61.2,
Baniyas School,02/10/2023,17:00:00,3.71,,4.82,23.85,,28.87,147.21,,132.71,,,,,,,,,112.6,,102.84,37.5,,35.89,36.27,36.23,1002.9,39.29,319.99,2.02,4.01,,,,,,,,,56.96,
Baniyas School,02/10/2023,18:00:00,3.53,,4.82,31.16,,28.87,127.28,,137.57,,,,,,,,,125.6,,102.84,33.9,,35.89,35.15,35.34,1003.1,46.74,327.01,1.68,4.02,,,,,,,,,55.29,
Baniyas School,02/10/2023,19:00:00,3.37,,4.82,30.72,,28.87,130.63,,139.15,,,,,,,,,120.3,,102.84,42.8,,35.89,33.8,33.96,1003.4,57.63,335.46,2.0,3.4,,,,,,,,,61.33,
Baniyas School,02/10/2023,20:00:00,3.71,,4.82,26.16,,28.87,133.11,,137.93,,,,,,,,,112.2,,102.84,37.1,,35.89,33.05,33.19,1004.0,60.89,338.55,1.57,3.09,,,,,,,,,61.61,
Baniyas School,02/10/2023,21:00:00,2.79,,4.82,25.07,,28.87,142.81,,135.4,,,,,,,,,93.0,,102.84,32.3,,35.89,32.61,32.82,1004.5,62.98,345.64,1.41,3.17,,,,,,,,,51.97,
Baniyas School,02/10/2023,22:00:00,3.29,,4.82,21.13,,28.87,138.4,,135.32,,,,,,,,,95.4,,102.84,37.9,,35.89,32.28,32.44,1005.0,63.79,347.94,0.89,3.36,,,,,,,,,50.17,
Baniyas School,02/10/2023,23:00:00,4.29,,4.82,24.37,,28.87,99.35,,133.93,,,,,,,,,90.2,,102.84,29.6,,35.89,32.1,32.29,1005.0,58.49,349.5,0.67,3.23,,,,,,,,,50.16,
Baniyas School,03/10/2023,00:00:00,3.7,,4.14,24.34,,26.51,85.81,,125.58,,,,,,,,,109.5,,110.16,28.3,,36.73,32.0,32.25,1004.9,58.59,27.34,1.18,3.21,,,,,,,,,49.48,
Baniyas School,03/10/2023,01:00:00,3.35,,4.14,33.36,,26.51,74.25,,116.45,,,,,,,,,87.6,,110.16,31.0,,36.73,31.0,31.45,1004.8,66.03,85.74,0.8,3.21,,,,,,,,,49.25,
Baniyas School,03/10/2023,02:00:00,3.74,,4.14,21.68,,26.51,77.01,,110.17,,,,,,,,,118.8,,110.16,31.8,,36.73,30.21,30.5,1004.7,68.91,117.8,0.8,3.42,,,,,,,,,49.03,
Baniyas School,03/10/2023,03:00:00,3.22,,4.14,25.48,,26.51,60.9,,101.45,,,,,,,,,114.9,,110.16,34.5,,36.73,29.66,29.95,1004.6,67.87,118.17,0.78,3.6,,,,,,,,,48.92,
Baniyas School,03/10/2023,04:00:00,3.11,,4.14,26.24,,26.51,63.55,,92.76,,,,,,,,,97.1,,110.16,33.6,,36.73,29.3,29.45,1004.6,68.05,107.21,0.47,3.59,,,,,,,,,48.69,
Baniyas School,03/10/2023,05:00:00,3.22,,4.14,23.99,,26.51,70.77,,83.75,,,,,,,,,119.4,,110.16,42.1,,36.73,28.79,29.24,1004.8,68.66,82.29,0.33,3.35,,,,,,,,,55.84,
Baniyas School,03/10/2023,06:00:00,3.4,,4.14,40.68,,26.51,39.77,,71.43,,,,,,,,,106.1,,110.16,34.0,,36.73,28.41,28.88,1005.1,69.8,94.72,0.5,3.69,,,,,,,,,64.14,
Baniyas School,03/10/2023,07:00:00,3.66,,4.14,68.95,,26.51,18.66,,61.34,,,,,,,,,106.3,,110.16,38.0,,36.73,27.73,28.3,1005.7,72.14,97.92,0.75,3.35,,,,,,,,,52.51,
Baniyas School,03/10/2023,08:00:00,3.31,,4.14,54.97,,26.51,35.52,,55.05,,,,,,,,,124.3,,110.16,38.2,,36.73,29.25,29.37,1006.3,66.76,128.94,1.0,3.26,,,,,,,,,56.77,
Baniyas School,03/10/2023,09:00:00,3.13,,4.14,56.72,,26.51,37.41,,50.45,,,,,,,,,147.8,,110.16,41.5,,36.73,31.66,31.51,1006.8,58.99,103.78,1.11,3.12,,,,,,,,,55.25,
Baniyas School,03/10/2023,10:00:00,4.14,,4.14,47.38,,26.51,78.89,,50.68,,,,,,,,,155.0,,110.16,40.2,,36.73,34.07,33.48,1006.8,50.74,111.5,1.38,3.26,,,,,,,,,54.2,
Baniyas School,03/10/2023,11:00:00,4.74,,4.14,23.24,,26.51,161.44,,63.25,,,,,,,,,161.4,,110.16,39.5,,36.73,36.5,35.82,1006.6,40.45,129.12,1.54,3.29,,,,,,,,,56.33,
Baniyas School,03/10/2023,12:00:00,5.72,,4.14,10.51,,26.51,156.77,,74.9,,,,,,,,,142.1,,110.16,35.3,,36.73,38.74,37.98,1006.0,27.62,131.42,1.41,3.06,,,,,,,,,53.94,
Baniyas School,03/10/2023,13:00:00,6.05,,4.14,5.87,,26.51,145.29,,84.22,,,,,,,,,93.6,,110.16,35.8,,36.73,40.15,39.7,1005.0,20.89,102.42,0.83,3.1,,,,,,,,,66.36,
Baniyas School,03/10/2023,14:00:00,6.25,,4.14,7.0,,26.51,105.28,,92.41,,,,,,,,,73.6,,110.16,31.2,,36.73,40.96,40.69,1004.2,18.19,111.55,0.34,3.43,,,,,,,,,54.14,
Baniyas School,03/10/2023,15:00:00,5.98,,4.14,12.41,,26.51,232.33,,119.12,,,,,,,,,53.1,,110.16,31.3,,36.73,40.46,40.09,1003.6,26.01,358.88,2.21,3.25,,,,,,,,,56.97,
Baniyas School,03/10/2023,16:00:00,5.46,,4.14,20.56,,26.51,252.94,,146.29,,,,,,,,,98.6,,110.16,30.4,,36.73,37.66,36.61,1003.5,43.0,352.82,5.07,3.18,,,,,,,,,60.48,
Baniyas School,03/10/2023,17:00:00,5.42,,4.14,16.31,,26.51,209.8,,167.84,,,,,,,,,140.5,,110.16,35.2,,36.73,35.92,35.21,1003.8,48.13,352.32,4.78,3.29,,,,,,,,,61.67,
Baniyas School,03/10/2023,18:00:00,4.04,,4.14,16.04,,26.51,181.93,,180.72,,,,,,,,,129.8,,110.16,38.3,,36.73,34.57,34.22,1003.9,54.89,354.25,5.11,3.14,,,,,,,,,57.59,
Baniyas School,03/10/2023,19:00:00,3.58,,4.14,17.94,,26.51,147.2,,178.94,,,,,,,,,94.1,,110.16,44.0,,36.73,33.63,33.46,1004.2,57.07,353.62,4.87,3.25,,,,,,,,,54.35,
Baniyas School,03/10/2023,20:00:00,3.12,,4.14,22.4,,26.51,121.43,,174.53,,,,,,,,,110.6,,110.16,41.2,,36.73,33.27,33.31,1004.8,59.21,356.65,4.07,3.15,,,,,,,,,59.54,
Baniyas School,03/10/2023,21:00:00,2.73,,4.14,21.24,,26.51,114.55,,170.68,,,,,,,,,86.1,,110.16,36.2,,36.73,33.01,33.13,1005.5,60.46,1.1,3.76,3.14,,,,,,,,,53.33,
Baniyas School,03/10/2023,22:00:00,4.06,,4.14,21.98,,26.51,105.58,,170.72,,,,,,,,,86.1,,110.16,48.3,,36.73,32.83,32.94,1005.9,57.9,20.35,2.66,3.24,,,,,,,,,50.54,
Baniyas School,03/10/2023,23:00:00,4.15,,4.14,16.84,,26.51,104.72,,154.77,,,,,,,,,87.4,,110.16,41.6,,36.73,32.49,32.7,1005.9,57.91,22.48,2.09,3.48,,,,,,,,,50.06,
Baniyas School,04/10/2023,00:00:00,3.31,,4.42,18.76,,27.0,101.66,,135.86,,,,,,,,,73.6,,84.22,37.6,,41.32,32.1,32.37,1005.7,60.18,24.77,1.79,3.49,,,,,,,,,49.8,
Baniyas School,04/10/2023,01:00:00,4.02,,4.42,24.37,,27.0,92.46,,121.19,,,,,,,,,76.2,,84.22,35.0,,41.32,31.58,31.84,1005.6,62.05,42.16,1.04,3.4,,,,,,,,,49.72,
Baniyas School,04/10/2023,02:00:00,3.44,,4.42,19.15,,27.0,89.22,,109.6,,,,,,,,,69.4,,84.22,37.1,,41.32,31.15,31.36,1005.3,62.04,33.05,1.24,3.22,,,,,,,,,49.59,
Baniyas School,04/10/2023,03:00:00,4.03,,4.42,28.39,,27.0,59.03,,98.58,,,,,,,,,69.4,,84.22,41.9,,41.32,30.19,30.65,1005.1,65.23,96.8,0.63,3.72,,,,,,,,,49.24,
Baniyas School,04/10/2023,04:00:00,4.11,,4.42,29.65,,27.0,41.61,,88.6,,,,,,,,,65.9,,84.22,38.6,,41.32,29.2,29.61,1005.2,67.37,89.31,0.69,3.56,,,,,,,,,49.46,
Baniyas School,04/10/2023,05:00:00,5.08,,4.42,35.86,,27.0,30.07,,78.04,,,,,,,,,83.2,,84.22,38.0,,41.32,28.84,29.34,1005.5,68.04,77.69,0.68,3.69,,,,,,,,,49.53,
Baniyas School,04/10/2023,06:00:00,3.43,,4.42,35.83,,27.0,48.5,,70.91,,,,,,,,,84.8,,84.22,37.0,,41.32,28.52,29.01,1006.0,71.21,118.26,0.85,3.86,,,,,,,,,63.35,
Baniyas School,04/10/2023,07:00:00,3.33,,4.42,39.5,,27.0,36.1,,62.33,,,,,,,,,75.2,,84.22,32.1,,41.32,28.33,28.58,1006.5,71.51,120.86,0.82,3.14,,,,,,,,,53.24,
