Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation
Baniyas School,01/02/2023,00:00:00,5.56,,4.99,70.55,,38.87,5.32,,37.37,,,,,,,,,106.4,,149.03,36.4,,21.72,18.0,19.83,1012.5,48.66,121.28,0.9,5.13,,,,,,,,,51.88,
Baniyas School,01/02/2023,01:00:00,6.1,,4.99,80.77,,38.87,4.03,,25.3,,,,,,,,,94.2,,149.03,37.2,,21.72,17.13,19.03,1012.4,51.39,116.16,0.79,4.67,,,,,,,,,51.45,
Baniyas School,01/02/2023,02:00:00,5.5,,4.99,85.02,,38.87,3.46,,13.93,,,,,,,,,93.0,,149.03,33.2,,21.72,16.36,17.91,1012.2,54.87,116.15,0.73,4.78,,,,,,,,,51.64,
Baniyas School,01/02/2023,03:00:00,4.65,,4.99,58.35,,38.87,20.05,,9.28,,,,,,,,,86.3,,149.03,29.6,,21.72,16.07,17.45,1011.9,57.37,119.5,1.23,4.01,,,,,,,,,50.64,
Baniyas School,01/02/2023,04:00:00,4.98,,4.99,25.15,,38.87,50.81,,12.78,,,,,,,,,84.2,,149.03,33.0,,21.72,16.3,17.16,1011.4,57.86,113.66,1.93,3.33,,,,,,,,,50.59,
Baniyas School,01/02/2023,05:00:00,4.51,,4.99,20.41,,38.87,52.21,,18.66,,,,,,,,,84.6,,149.03,31.4,,21.72,15.91,16.51,1011.4,59.45,109.88,2.14,3.35,,,,,,,,,50.07,
Baniyas School,01/02/2023,06:00:00,6.63,,4.99,19.47,,38.87,50.67,,24.41,,,,,,,,,65.9,,149.03,26.8,,21.72,15.65,16.24,1012.2,61.3,115.15,2.27,2.98,,,,,,,,,56.34,
Baniyas School,01/02/2023,07:00:00,7.08,,4.99,34.51,,38.87,40.43,,28.37,,,,,,,,,54.5,,149.03,26.4,,21.72,15.54,16.09,1013.0,61.7,114.01,2.56,3.65,,,,,,,,,54.04,
Baniyas School,01/02/2023,08:00:00,6.4,,4.99,65.26,,38.87,14.75,,29.55,,,,,,,,,54.4,,149.03,22.6,,21.72,15.85,16.21,1013.6,63.37,122.8,2.96,3.29,,,,,,,,,57.6,
Baniyas School,01/02/2023,09:00:00,5.44,,4.99,41.43,,38.87,43.92,,34.54,,,,,,,,,73.6,,149.03,22.1,,21.72,17.98,17.83,1014.6,62.94,126.81,3.87,5.0,,,,,,,,,60.65,
Baniyas School,01/02/2023,10:00:00,5.71,,4.99,14.63,,38.87,82.16,,44.38,,,,,,,,,97.9,,149.03,20.9,,21.72,19.89,19.47,1015.0,63.66,138.98,5.69,4.66,,,,,,,,,65.39,
Baniyas School,01/02/2023,11:00:00,5.43,,4.99,11.1,,38.87,91.39,,53.29,,,,,,,,,94.3,,149.03,20.1,,21.72,21.85,21.18,1014.9,59.73,141.86,5.7,4.83,,,,,,,,,64.5,
Baniyas School,01/02/2023,12:00:00,4.14,,4.99,7.83,,38.87,94.99,,58.81,,,,,,,,,122.3,,149.03,17.1,,21.72,23.75,22.83,1014.2,50.87,147.01,5.34,4.99,,,,,,,,,64.87,
Baniyas School,01/02/2023,13:00:00,4.13,,4.99,8.41,,38.87,95.08,,64.17,,,,,,,,,190.3,,149.03,16.5,,21.72,25.34,24.19,1012.9,42.93,150.66,5.07,4.86,,,,,,,,,63.4,
Baniyas School,01/02/2023,14:00:00,5.37,,4.99,12.57,,38.87,85.18,,68.49,,,,,,,,,252.6,,149.03,14.7,,21.72,26.64,25.53,1011.9,35.03,151.03,4.93,5.29,,,,,,,,,63.38,
Baniyas School,01/02/2023,15:00:00,5.18,,4.99,11.75,,38.87,84.46,,73.99,,,,,,,,,264.0,,149.03,17.4,,21.72,27.15,26.24,1011.2,29.76,154.32,5.38,5.93,,,,,,,,,63.0,
