Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation
Baniyas School,01/12/2023,00:00:00,2.87,,3.75,85.77,,38.03,6.5,,33.11,,,,,,,,,83.7,,76.48,19.5,,24.99,22.99,23.29,1013.5,60.84,197.54,1.27,3.6,,,,,,,,,49.31,
Baniyas School,01/12/2023,01:00:00,2.91,,3.75,46.76,,38.03,34.07,,27.56,,,,,,,,,92.1,,76.48,15.1,,24.99,22.27,22.46,1013.1,64.83,210.77,1.6,3.61,,,,,,,,,50.56,
Baniyas School,01/12/2023,02:00:00,3.29,,3.75,35.76,,38.03,35.16,,23.46,,,,,,,,,75.4,,76.48,18.2,,24.99,21.74,21.79,1012.9,66.31,210.22,1.49,6.13,,,,,,,,,50.05,
Baniyas School,01/12/2023,03:00:00,4.75,,3.75,31.42,,38.03,39.83,,21.88,,,,,,,,,71.6,,76.48,18.2,,24.99,21.15,21.29,1012.7,68.74,204.73,1.46,3.18,,,,,,,,,49.01,
Baniyas School,01/12/2023,04:00:00,4.34,,3.75,18.45,,38.03,54.43,,24.98,,,,,,,,,57.8,,76.48,20.0,,24.99,20.68,20.78,1012.6,73.0,216.29,1.9,3.21,,,,,,,,,49.85,
Baniyas School,01/12/2023,05:00:00,4.54,,3.75,18.6,,38.03,51.2,,29.46,,,,,,,,,74.3,,76.48,20.4,,24.99,20.46,20.53,1012.6,73.99,203.37,1.68,4.01,,,,,,,,,50.7,
Baniyas School,01/12/2023,06:00:00,4.66,,3.75,25.36,,38.03,43.12,,33.74,,,,,,,,,54.2,,76.48,17.5,,24.99,20.13,20.22,1013.1,74.11,182.05,1.37,3.03,,,,,,,,,65.93,
Baniyas School,01/12/2023,07:00:00,3.81,,3.75,48.22,,38.03,7.72,,34.0,,,,,,,,,66.0,,76.48,18.6,,24.99,18.72,19.07,1013.8,75.61,113.78,0.72,3.29,,,,,,,,,53.63,
Baniyas School,01/12/2023,08:00:00,3.33,,3.75,55.63,,38.03,17.85,,35.42,,,,,,,,,59.1,,76.48,19.2,,24.99,19.48,19.65,1014.5,74.97,158.55,1.06,3.38,,,,,,,,,53.88,
Baniyas School,01/12/2023,09:00:00,3.49,,3.75,43.75,,38.03,38.6,,35.99,,,,,,,,,61.4,,76.48,22.6,,24.99,21.66,21.55,1014.9,68.95,162.36,1.46,3.1,,,,,,,,,51.46,
