vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
Al Ha12042023,8.0,33.3,42.3,42.3,,61.5,16.5
Al Ha13042023,7.4,37.5,,,,67.0,17.6
Al Ha14042023,7.5,73.3,29.3,29.3,,50.1,13.5
Al Ha15042023,6.7,57.8,40.6,40.6,,56.3,15.2
Al Ha16042023,8.3,50.4,39.0,39.0,,51.4,13.9
Al Ha17042023,7.1,46.8,43.6,43.6,,45.9,12.3
Al Ha18042023,7.4,43.4,32.2,32.2,,34.6,9.2
Al Ha19042023,6.6,39.3,,,,38.8,10.5
Al Ha20042023,7.4,30.0,47.4,47.4,,43.5,11.7
Al Ha21042023,7.5,48.4,47.4,47.4,,40.6,10.9
Al Ha22042023,7.9,37.5,54.6,54.6,,42.0,11.2
Al Ha23042023,7.6,32.4,42.8,42.8,,43.8,11.7
Al Ha24042023,7.3,31.2,46.9,46.9,,51.0,13.7
Al Ha25042023,8.2,47.7,45.1,45.1,,57.7,15.4
Al Ha26042023,8.6,24.2,46.8,46.8,,76.1,20.2
Al Ha27042023,9.7,26.7,45.7,45.7,,80.0,21.3
Al Ha28042023,7.9,43.3,,,,111.8,28.4
Al Ha29042023,7.2,47.1,37.9,37.9,,86.3,23.4
Al Ha30042023,8.0,42.1,56.4,56.4,,110.4,29.5
Al Ha01052023,8.5,35.8,51.4,51.4,,186.5,42.1
Al Ha02052023,7.6,45.6,,,,127.3,31.5
Al Ha03052023,7.6,39.4,26.6,26.6,,63.5,16.6
Al Ha04052023,7.6,36.5,37.5,37.5,,76.4,20.7
Al Ha05052023,7.4,34.6,32.4,32.4,,70.8,18.7
Al Ha06052023,8.0,29.9,32.7,32.7,,73.5,20.0
Al Ha07052023,6.9,36.8,27.2,27.2,,53.1,14.2
Al Ha08052023,7.8,28.9,28.0,28.0,,46.1,12.2
Al Ha09052023,7.0,42.8,36.5,36.5,,69.7,19.1
Al Ha10052023,7.8,39.3,33.7,33.7,,89.2,24.0
Al Ha11052023,7.5,36.1,,,,99.4,26.2
Al Ha12052023,7.8,26.3,26.4,26.4,,83.7,22.6
Al Ha13052023,7.7,25.9,36.7,36.7,,66.9,17.7
Al Ha14052023,7.1,34.2,32.4,32.4,,135.6,37.0
Al Ha15052023,7.5,32.7,22.7,22.7,,78.6,20.4
Al Ha16052023,6.9,26.7,30.7,30.7,,62.9,17.1
Al Ha17052023,6.6,49.1,41.1,41.1,,61.3,16.3
Al Ha18052023,8.3,50.5,30.3,30.3,,57.6,15.6
Al Ha19052023,8.2,35.3,26.6,26.6,,83.5,22.5
Al Ha20052023,7.5,36.4,35.2,35.2,,85.6,23.2
Al Ha21052023,7.7,26.2,,,,63.4,16.8
Al Ha22052023,6.7,33.4,30.0,30.0,,44.2,11.9
Al Ha23052023,7.8,33.8,27.4,27.4,,59.9,16.2
Al Ha24052023,7.0,42.8,39.1,39.1,,108.6,29.0
Al Ha25052023,8.2,27.6,30.2,30.2,,165.9,44.5
Al Ha26052023,8.0,41.4,26.0,26.0,,90.7,24.2
Al Ha27052023,8.2,48.2,,,,83.2,22.4
Al Ha28052023,7.3,31.7,33.3,33.3,,152.1,41.3
Al Ha29052023,7.3,58.3,40.5,40.5,,241.2,64.6
Al Ha30052023,7.7,56.2,40.1,40.1,,218.5,57.9
Al Ha31052023,6.7,34.7,47.5,47.5,,176.9,47.7
Al Ha01062023,6.2,47.8,,,,92.4,20.4
Al Ha02062023,7.4,67.3,,,,73.4,19.2
Al Ha03062023,7.9,42.6,34.2,34.2,,88.0,22.7
Al Ha04062023,7.7,43.7,37.6,37.6,,106.3,28.6
Al Ha05062023,8.3,41.7,39.4,39.4,,114.8,30.9
Al Ha06062023,7.3,42.1,23.6,23.6,,120.7,32.2
Al Ha07062023,7.3,33.2,30.6,30.6,,91.4,25.0
Al Ha08062023,7.3,42.8,,,,129.4,34.8
Al Ha09062023,7.1,44.0,33.6,33.6,,160.6,42.9
Al Ha10062023,7.6,47.4,33.8,33.8,,190.7,51.2
Al Ha11062023,7.9,44.1,38.1,38.1,,136.1,35.9
Al Ha12062023,7.9,35.5,43.9,43.9,,145.5,39.6
Al Ha13062023,7.5,42.6,43.4,43.4,,161.5,42.5
Al Ha14062023,7.8,41.5,38.6,38.6,,118.9,31.6
Al Ha15062023,7.2,36.1,25.7,25.7,,77.9,21.0
Al Ha16062023,7.5,53.6,25.0,25.0,,99.7,27.1
Al Ha17062023,7.6,52.2,23.3,23.3,,103.8,27.5
Al Ha18062023,7.8,39.5,29.5,29.5,,74.0,19.8
Al Ha19062023,8.0,41.0,30.0,30.0,,57.0,15.3
Al Ha20062023,7.4,47.2,27.5,27.5,,77.5,21.1
Al Ha21062023,7.1,49.7,23.0,23.0,,109.6,29.6
Al Ha22062023,7.3,32.5,27.9,27.9,,123.8,32.8
Al Ha23062023,7.3,31.5,38.6,38.6,,54.5,14.6
Al Ha24062023,8.0,49.0,,,,63.3,17.2
Al Ha25062023,7.6,54.6,34.8,34.8,,65.7,17.4
Al Ha26062023,7.9,39.5,31.4,31.4,,65.1,17.6
Al Ha27062023,7.8,45.8,,,,158.5,43.0
Al Ha28062023,7.2,28.5,37.5,37.5,,149.2,39.9
Al Ha29062023,8.5,25.8,27.6,27.6,,185.6,49.2
Al Ha30062023,7.7,33.9,35.4,35.4,,135.7,36.0
Al Ha01072023,7.2,35.1,24.7,24.7,,90.7,20.3
Al Ha02072023,7.2,25.3,,,,74.8,19.7
Al Ha03072023,6.2,20.9,28.8,28.8,,69.5,17.8
Al Ha04072023,7.6,27.1,34.2,34.2,,64.0,17.1
Al Ha05072023,7.4,19.7,30.9,30.9,,80.9,21.5
Al Ha06072023,6.2,26.6,15.8,15.8,,64.3,17.3
Al Ha07072023,6.7,19.7,17.3,17.3,,90.6,24.8
Al Ha08072023,6.6,29.5,,,,194.3,52.5
Al Ha09072023,6.6,25.1,41.8,41.8,,212.8,56.9
Al Ha10072023,6.2,49.1,41.8,41.8,,165.2,43.9
Al Ha11072023,6.4,69.0,16.1,16.1,,171.9,46.7
Al Ha12072023,7.6,29.9,41.4,41.4,,182.2,48.8
Al Ha13072023,6.3,38.7,23.7,23.7,,110.3,29.0
Al Ha14072023,6.4,27.6,27.7,27.7,,114.9,30.8
Al Ha15072023,6.4,22.2,16.0,16.0,,109.6,29.7
Al Ha16072023,7.0,48.3,31.1,31.1,,132.7,35.5
Al Ha17072023,6.7,44.1,,,,103.5,27.5
Al Ha18072023,6.7,37.1,28.6,28.6,,98.9,26.5
Al Ha19072023,5.8,22.4,42.4,42.4,,103.8,28.0
Al Ha20072023,6.2,19.8,39.0,39.0,,71.2,19.0
Al Ha21072023,7.1,15.8,36.4,36.4,,74.4,20.1
Al Ha22072023,6.9,23.6,27.9,27.9,,123.8,33.6
Al Ha23072023,6.9,14.5,28.2,28.2,,139.6,37.0
Al Ha24072023,7.0,21.6,15.6,15.6,,88.6,23.6
Al Ha25072023,7.0,20.2,20.9,20.9,,81.2,21.7
Al Ha26072023,7.2,13.4,33.3,33.3,,75.0,20.0
Al Ha27072023,6.6,24.7,,,,49.2,13.2
Al Ha28072023,7.3,12.4,22.0,22.0,,48.8,13.1
Al Ha29072023,7.2,14.3,21.5,21.5,,54.8,14.6
Al Ha30072023,6.3,18.6,24.4,24.4,,76.4,20.6
Al Ha31072023,5.9,30.9,27.7,27.7,,83.0,22.4
Al Ha01082023,6.9,37.3,,,,113.0,25.3
Al Ha02082023,6.9,35.3,37.2,37.2,,78.8,19.8
Al Ha03082023,7.0,24.4,42.4,42.4,,58.6,15.0
Al Ha04082023,7.3,24.8,42.7,42.7,,69.2,18.7
Al Ha05082023,6.4,30.2,,,,87.4,23.3
Al Ha06082023,7.6,34.4,32.3,32.3,,87.8,23.8
Al Ha07082023,7.0,38.7,30.4,30.4,,104.5,28.1
Al Ha08082023,7.3,40.1,20.7,20.7,,85.8,22.8
Al Ha09082023,7.4,30.9,31.2,31.2,,68.9,18.5
Al Ha10082023,6.7,44.8,,,,96.6,26.3
Al Ha11082023,7.3,24.8,54.2,54.2,,182.6,48.7
Al Ha12082023,7.2,45.7,17.9,17.9,,233.4,63.5
Al Ha13082023,6.7,38.8,24.3,24.3,,236.3,62.0
Al Ha14082023,6.5,27.1,25.8,25.8,,135.5,36.5
Al Ha15082023,6.8,26.9,25.1,25.1,,101.2,27.1
Al Ha16082023,7.2,46.1,22.3,22.3,,120.6,32.8
Al Ha17082023,5.7,31.5,22.1,22.1,,166.9,44.5
Al Ha18082023,6.7,21.5,23.1,23.1,,101.3,26.9
Al Ha19082023,7.2,28.3,33.1,33.1,,81.7,21.7
Al Ha20082023,7.4,36.7,28.0,28.0,,73.9,20.1
Al Ha21082023,7.0,29.2,25.5,25.5,,86.0,23.1
Al Ha22082023,6.6,27.0,31.0,31.0,,83.4,22.4
Al Ha23082023,7.8,35.0,22.7,22.7,,72.7,19.2
Al Ha24082023,7.7,38.1,25.7,25.7,,89.6,24.5
Al Ha25082023,6.7,43.6,21.5,21.5,,130.0,34.4
Al Ha26082023,7.6,23.9,,,,86.5,23.4
Al Ha27082023,7.4,37.4,29.2,29.2,,83.5,22.4
Al Ha28082023,6.4,31.6,21.0,21.0,,65.3,17.4
Al Ha29082023,7.4,28.1,35.6,35.6,,66.3,17.6
Al Ha30082023,6.7,51.4,18.8,18.8,,70.1,18.8
Al Ha31082023,8.0,42.1,28.0,28.0,,57.1,15.6
Al Ha01092023,6.5,37.3,30.3,30.3,,60.0,19.2
Al Ha02092023,6.3,42.4,,,,62.3,20.3
Al Ha03092023,6.4,38.4,27.1,27.1,,73.0,23.9
Al Ha04092023,6.8,37.8,25.0,25.0,,104.3,34.3
Al Ha05092023,6.7,28.6,42.7,42.7,,62.5,20.4
Al Ha06092023,6.7,47.8,36.2,36.2,,64.0,20.9
Al Ha07092023,6.7,39.9,27.8,27.8,,87.0,28.7
Al Ha08092023,7.4,43.4,28.9,28.9,,162.6,53.3
Al Ha09092023,7.1,44.1,22.0,22.0,,142.5,46.3
Al Ha10092023,7.0,38.4,,,,98.7,32.0
Al Ha11092023,6.9,47.5,25.8,25.8,,74.5,24.1
Al Ha12092023,7.1,41.5,39.0,39.0,,81.7,26.9
Al Ha13092023,7.0,57.8,33.8,33.8,,83.7,27.1
Al Ha14092023,7.4,48.5,26.7,26.7,,76.5,25.1
Al Ha15092023,7.7,25.8,24.5,24.5,,71.6,23.2
Al Ha16092023,6.5,25.7,31.5,31.5,,59.9,19.7
Al Ha17092023,7.7,31.1,23.4,23.4,,61.8,20.2
Al Ha18092023,7.9,35.1,27.8,27.8,,74.3,24.2
Al Ha19092023,6.9,37.4,28.4,28.4,,78.9,25.7
Al Ha20092023,7.9,39.9,30.0,30.0,,81.4,26.4
Al Ha21092023,7.4,41.8,,,,66.4,21.7
Al Ha22092023,7.0,26.3,31.4,31.4,,60.7,19.9
Al Ha23092023,7.0,41.9,21.8,21.8,,65.6,21.6
Al Ha24092023,7.3,45.7,22.3,22.3,,93.1,30.6
Al Ha25092023,8.4,45.2,30.2,30.2,,129.2,42.7
Al Ha26092023,8.1,53.8,27.9,27.9,,144.6,46.9
Al Ha27092023,8.0,40.3,24.5,24.5,,127.5,41.8
Al Ha28092023,7.0,43.7,29.0,29.0,,168.5,54.9
Al Ha29092023,6.8,49.5,28.9,28.9,,79.7,25.7
Al Ha30092023,7.2,51.5,,,,54.1,17.8
Al Ha01102023,6.9,40.1,24.1,24.1,,51.0,21.0
Al Ha02102023,6.9,21.5,53.9,53.9,,54.4,29.4
Al Ha03102023,6.9,39.2,38.1,38.1,,52.9,17.9
Al Ha04102023,7.1,49.3,26.5,26.5,,54.3,23.6
Al Ha05102023,5.6,40.6,23.1,23.1,,69.1,40.7
Al Ha06102023,7.0,63.5,27.6,27.6,,70.2,30.1
Al Ha07102023,6.3,47.1,,,,60.9,16.7
Al Ha08102023,8.0,38.5,21.8,21.8,,98.1,45.4
Al Ha09102023,7.2,43.8,20.8,20.8,,77.1,32.7
Al Ha10102023,6.3,46.8,25.9,25.9,,62.0,20.6
Al Ha11102023,7.4,51.1,21.8,21.8,,52.6,17.2
Al Ha12102023,7.5,26.3,27.2,27.2,,44.5,13.5
Al Ha13102023,7.2,23.3,28.6,28.6,,52.1,20.3
Al Ha14102023,5.3,39.2,21.8,21.8,,48.2,19.2
Al Ha15102023,5.6,62.0,,,,55.6,20.3
Al Ha16102023,5.1,54.0,22.4,22.4,,62.6,24.1
Al Ha17102023,5.2,44.5,31.6,31.6,,83.5,42.3
Al Ha18102023,5.4,54.7,32.6,32.6,,129.8,64.6
Al Ha19102023,5.0,44.9,24.6,24.6,,101.1,33.8
Al Ha20102023,6.9,53.0,37.7,37.7,,88.0,33.4
Al Ha21102023,5.3,46.9,34.8,34.8,,63.3,16.2
Al Ha22102023,5.2,49.2,24.0,24.0,,59.0,20.3
Al Ha23102023,5.7,51.9,27.6,27.6,,70.3,19.9
Al Ha24102023,5.1,52.8,24.1,24.1,,77.4,26.4
Al Ha25102023,5.7,48.6,29.4,29.4,,133.2,55.4
Al Ha26102023,5.4,53.7,23.5,23.5,,69.0,26.8
Al Ha27102023,5.9,42.1,25.6,25.6,,43.4,16.1
Al Ha28102023,6.0,35.5,21.3,21.3,,41.9,17.5
Al Ha29102023,6.6,29.3,23.4,23.4,,67.8,25.1
Al Ha30102023,7.7,30.6,26.0,26.0,,66.4,18.3
Al Ha31102023,9.5,49.5,,,,61.9,17.1
Al Ha01112023,6.4,63.3,38.1,38.1,,54.7,15.1
Al Ha02112023,5.1,33.0,43.7,43.7,,55.9,10.2
Al Ha03112023,5.5,37.5,53.1,53.1,,60.4,16.9
Al Ha04112023,6.4,34.3,37.0,37.0,,51.4,15.6
Al Ha05112023,6.7,38.0,18.4,18.4,,56.4,15.1
Al Ha06112023,6.2,43.4,22.7,22.7,,127.8,50.3
Al Ha07112023,6.4,43.3,,,,94.6,26.3
Al Ha08112023,6.5,62.2,74.0,74.0,,54.0,14.1
Al Ha09112023,6.1,57.4,25.0,25.0,,46.5,15.6
Al Ha10112023,4.9,42.4,26.5,26.5,,55.3,17.4
Al Ha11112023,5.6,63.9,,,,75.3,26.9
Al Ha12112023,4.8,,,,,44.2,11.8
Al Ha13112023,8.0,71.9,,,,53.5,14.7
Al Ha14112023,7.0,72.8,31.7,31.7,,46.9,12.1
Al Ha15112023,5.2,45.7,,,,22.7,5.2
Al Ha16112023,5.8,42.9,23.2,23.2,,46.9,14.1
Al Ha17112023,5.4,44.0,19.8,19.8,,55.1,17.3
Al Ha18112023,4.0,43.3,25.1,25.1,,33.6,9.6
Al Ha19112023,6.7,37.5,23.9,23.9,,24.3,6.9
Al Ha20112023,4.5,41.2,27.8,27.8,,50.6,17.0
Al Ha21112023,6.2,31.1,21.1,21.1,,41.4,11.4
Al Ha22112023,6.8,49.8,23.6,23.6,,47.9,15.5
Al Ha23112023,8.3,25.6,33.7,33.7,,49.6,16.6
Al Ha24112023,6.5,54.3,27.1,27.1,,48.5,14.9
Al Ha25112023,6.0,44.8,,,,33.6,9.2
Al Ha26112023,5.8,42.0,30.5,30.5,,52.7,17.3
Al Ha27112023,6.8,33.7,37.4,37.4,,25.8,9.0
Al Ha28112023,7.2,25.2,29.3,29.3,,51.7,15.4
Al Ha29112023,5.0,21.2,29.1,29.1,,44.4,10.8
Al Ha30112023,4.5,22.9,,,,48.5,14.6
Al Ha01122023,5.9,37.2,44.4,44.4,,51.2,13.7
Al Ha02122023,5.5,30.4,40.4,40.4,,52.0,19.3
Al Ha03122023,5.9,27.5,28.3,28.3,,61.7,17.6
Al Ha04122023,6.8,29.9,17.2,17.2,,67.7,19.4
Al Ha05122023,6.7,43.0,23.3,23.3,,78.7,23.1
Al Ha06122023,5.3,42.3,27.5,27.5,,100.9,28.4
Al Ha07122023,6.1,35.6,,,,68.9,20.3
Al Ha08122023,6.3,26.6,27.4,27.4,,67.0,7.3
Al Ha09122023,7.4,22.3,29.3,29.3,,62.3,8.0
Al Ha10122023,7.0,44.2,41.0,41.0,,88.8,9.7
Al Ha11122023,6.9,32.7,38.0,38.0,,81.7,21.6
Al Ha12122023,9.9,51.9,32.4,32.4,,76.0,21.7
Al Ha13122023,8.0,46.6,26.1,26.1,,62.0,27.7
Al Ha14122023,6.6,37.9,30.5,30.5,,52.5,35.8
Al Ha15122023,5.5,39.5,36.2,36.2,,35.6,13.6
Al Ha16122023,6.9,35.2,26.0,26.0,,46.8,19.2
Al Ha17122023,7.4,27.1,25.3,25.3,,47.4,18.9
Al Ha18122023,6.3,42.1,,,,41.7,12.5
Al Ha19122023,7.0,22.2,31.0,31.0,,46.3,14.6
Al Ha20122023,6.1,29.7,27.2,27.2,,56.1,20.8
Al Ha21122023,6.2,36.5,26.0,26.0,,57.3,23.0
Al Ha22122023,7.3,34.2,28.8,28.8,,79.9,25.5
Al Ha23122023,6.0,22.4,32.6,32.6,,57.8,19.3
Al Ha24122023,7.8,49.8,27.2,27.2,,67.0,24.6
Al Ha25122023,6.4,40.6,,,,55.9,14.5
Al Ha26122023,5.7,40.7,25.3,25.3,,48.6,19.4
Al Ha27122023,6.3,28.5,21.3,21.3,,39.8,27.2
Al Ha28122023,5.3,34.5,29.6,29.6,,56.2,20.4
Al Ha29122023,6.3,40.2,34.0,34.0,,47.4,13.2
Al Ha30122023,7.1,41.1,35.4,35.4,,48.1,14.1
Al Ha31122023,5.4,45.5,27.4,27.4,,48.9,14.0
