vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
Masfo01012023,6.855666666666667,17.734666666666666,,,,13.379166666666668,8.220416666666667
Masfo02012023,7.292333333333333,14.953833333333334,102.648775,102.648775,0.17583591666666668,9.829583333333334,6.450833333333333
Masfo03012023,7.379666666666668,14.577833333333333,112.832875,112.832875,0.15841933333333333,11.344166666666666,6.9191666666666665
Masfo04012023,7.6635,12.8075,113.896275,113.896275,0.14142027083333333,10.71375,6.510833333333333
Masfo05012023,6.9102500000000004,13.661333333333333,107.659025,107.659025,0.13861691666666665,12.961666666666666,7.855833333333333
Masfo06012023,8.558666666666667,18.220333333333333,91.36037499999999,91.36037499999999,0.1680223125,25.920416666666668,15.404583333333335
Masfo07012023,5.327333333333334,13.159999999999998,87.21924999999999,87.21924999999999,0.13008756249999998,5.345,3.4758333333333336
Masfo08012023,5.92775,14.742333333333333,75.5014,75.5014,0.16205772916666666,8.66375,5.684583333333333
Masfo09012023,6.691916666666667,13.818,92.51580000000001,92.51580000000001,0.1639663958333333,14.669583333333334,9.865833333333333
Masfo10012023,7.008500000000001,13.254,104.43815,104.43815,0.1562720833333333,76.02958333333333,46.86041666666667
Masfo11012023,7.598,12.9955,94.8471,94.8471,0.14386575,18.245,12.32
Masfo12012023,7.183166666666668,15.611833333333331,82.4953,82.4953,0.17488158333333334,37.52125,23.629583333333333
Masfo13012023,8.438583333333334,12.901499999999999,93.88595,93.88595,0.13998877083333336,22.42125,14.294583333333334
Masfo14012023,8.733333333333333,12.039833333333332,102.67945000000002,102.67945000000002,0.1417185,17.328333333333333,11.219999999999999
Masfo15012023,8.766083333333333,12.462833333333334,103.51790000000001,103.51790000000001,0.14762343749999998,13.051666666666668,8.36375
Masfo16012023,9.126333333333333,13.990333333333332,82.9452,82.9452,0.15662995833333335,23.377499999999998,13.407916666666667
Masfo17012023,9.2355,17.092333333333332,104.01892500000001,104.01892500000001,0.17977254166666667,18.881666666666668,12.137500000000001
Masfo18012023,8.143833333333333,12.039833333333334,91.29902499999999,91.29902499999999,0.14165885416666665,26.41,17.0625
Masfo19012023,11.538916666666667,13.528166666666666,105.8492,105.8492,0.15072502083333333,19.969166666666666,13.41125
Masfo20012023,6.252272727272728,13.44608695652174,,,,11.48913043478261,7.386521739130434
Masfo21012023,2.7182500000000007,14.7815,93.139525,93.139525,,7.83875,4.96375
Masfo22012023,3.83175,15.165333333333331,99.89825,99.89825,,8.565833333333332,5.550416666666667
Masfo23012023,4.104666666666668,12.791833333333335,104.41770000000001,104.41770000000001,,8.956249999999999,5.736249999999999
Masfo24012023,4.399416666666666,14.805,99.65285,99.65285,,9.762916666666667,6.3879166666666665
Masfo25012023,4.148333333333333,15.400333333333334,96.66714999999999,96.66714999999999,,9.116249999999999,6.18625
Masfo26012023,3.657083333333334,13.073833333333333,92.20904999999999,92.20904999999999,,10.616249999999999,7.558333333333334
Masfo27012023,3.9627499999999998,9.141499999999999,92.77142499999998,92.77142499999998,,7.840588235294117,5.583529411764706
Masfo28012023,5.349166666666666,16.708499999999997,86.984075,86.984075,0.17362902083333331,,
Masfo29012023,6.77925,25.69333333333333,79.213075,79.213075,0.20589741666666664,,
Masfo30012023,6.517250000000001,24.533999999999995,88.92682500000001,88.92682500000001,0.23947802083333333,,
Masfo31012023,8.067416666666666,19.857499999999998,115.245975,115.245975,0.23715183333333334,,
Envi01012023,2.5872500000000005,56.329499999999996,,,,64.7825,29.72583333333333
Envi02012023,3.591583333333334,54.55133333333333,26.64635,26.64635,0.8430938541666668,50.87875,25.3325
Envi03012023,2.5872500000000005,58.89883333333333,,,0.8250808125,43.909166666666664,23.145416666666666
Envi04012023,2.1505833333333335,39.840333333333334,47.515575000000005,47.515575000000005,0.5150417708333334,46.83208333333334,24.0625
Envi05012023,1.7357500000000001,42.253,48.56875,48.56875,0.4731703958333333,70.65958333333333,31.5775
Envi06012023,1.4191666666666667,36.769666666666666,42.208800000000004,42.208800000000004,0.4880222083333334,38.385,21.381249999999998
Envi07012023,1.5610833333333334,38.477333333333334,31.953125,31.953125,0.5118208958333333,35.14083333333333,20.364166666666666
Envi08012023,2.205166666666667,51.78616666666667,,,0.9072727708333334,62.98166666666666,29.15833333333333
Envi09012023,2.0305,60.82583333333333,,,0.9274927083333333,55.87916666666666,26.91208333333333
Envi10012023,1.9479130434782608,41.44991304347826,,,,83.58565217391305,35.64782608695652
Envi11012023,1.8339999999999999,35.0855,50.27632500000001,50.27632500000001,0.5161750416666667,40.54083333333333,22.056250000000002
Envi12012023,2.172416666666667,46.945166666666665,,,0.6516903749999999,57.00208333333333,27.264583333333334
Envi13012023,2.2270000000000003,42.04933333333333,33.016525,33.016525,0.6405366041666667,46.15416666666667,23.862916666666667
Envi14012023,1.8340000000000003,39.5505,44.550324999999994,44.550324999999994,0.5490995416666666,37.44583333333333,21.10375
Envi15012023,1.7466666666666668,49.82783333333333,32.76623478260869,32.76623478260869,0.70215075,41.54083333333333,22.37291666666667
Envi16012023,2.3798333333333335,61.24099999999999,,,1.151999625,50.79125,25.300833333333333
Envi17012023,4.932434782608696,64.96183333333333,,,0.852100375,60.906666666666666,28.491666666666664
Envi18012023,2.5435833333333338,46.13833333333333,,,0.5638917083333334,50.10041666666667,25.02125
Envi19012023,3.547916666666667,51.42583333333334,,,0.5605515416666667,41.16791666666666,22.268333333333334
Envi20012023,3.8863333333333334,61.48383333333333,,,1.0412969583333334,60.04208333333333,28.223333333333333
Envi21012023,2.6090833333333334,54.25366666666667,,,0.48164010416666664,39.33041666666667,21.6825
Envi22012023,2.3034166666666667,51.339666666666666,,,0.4676829791666666,39.477916666666665,21.717916666666667
Envi23012023,1.9759166666666668,42.35483333333333,,,0.35089643750000005,40.037083333333335,21.901666666666667
Envi24012023,2.358,45.041666666666664,,,0.3427846041666666,37.231249999999996,20.993333333333332
Envi25012023,2.0523333333333333,42.112,,,0.29840810416666663,41.6825,22.3875
Envi26012023,1.9977500000000001,44.07816666666667,,,0.33079579166666667,35.2825,20.42625
Envi27012023,2.205166666666667,42.1355,,,0.3916941875,30.542916666666667,18.93875
Envi28012023,2.5217500000000004,56.99533333333333,,,0.6051069791666667,36.865,20.925
Envi29012023,4.377583333333334,67.76616666666666,,,0.8874107083333334,69.51333333333334,31.215833333333332
Envi30012023,3.165833333333334,76.46116666666667,,,1.1649427708333333,64.845,29.732083333333332
Envi31012023,3.624333333333334,68.90983333333334,,,0.9078095833333334,76.48041666666667,33.38708333333333
Ajman01012023,1.9083333333333332,28.31375,,,,1.0595833333333333,0.08541666666666665
Ajman02012023,1.8795833333333334,31.040000000000003,19.029739583333335,19.029739583333335,0.8913541666666666,15.120833333333332,4.5441666666666665
Ajman03012023,1.8129166666666665,33.76958333333334,21.543333333333333,21.543333333333333,0.6627604166666666,19.5475,6.68625
Ajman04012023,1.7575,21.143333333333334,31.491354166666667,31.491354166666667,0.5792708333333333,26.63083333333333,7.845833333333334
Ajman05012023,1.76625,22.423333333333332,30.466302083333332,30.466302083333332,0.6628645833333334,51.584583333333335,17.28708333333333
Ajman06012023,1.7474999999999998,22.172083333333333,25.034843750000004,25.034843750000004,0.8986979166666668,11.619166666666667,5.01
Ajman07012023,1.8129166666666665,25.41541666666667,16.560989583333335,16.560989583333335,1.2161979166666665,4.74875,3.2770833333333336
Ajman08012023,1.825,18.060416666666665,25.651875,25.651875,1.3656770833333332,8.388333333333334,4.117083333333333
Ajman09012023,1.9129166666666668,33.809999999999995,26.149322916666666,26.149322916666666,1.3022916666666666,28.00375,9.91625
Ajman10012023,1.7616666666666667,14.045416666666668,28.317343750000003,28.317343750000003,1.0905208333333334,27.655416666666667,12.778333333333334
Ajman11012023,1.8304166666666666,12.099583333333333,44.56890625,44.56890625,0.8927604166666666,10.544166666666667,5.370833333333334
